date,value
2018-01-01,2897100
2018-01-18,3582700
2018-01-28,4045600
2018-02-25,4738800
2018-02-27,4784200
2018-03-02,4756700
2018-03-19,4821300
2018-04-01,4999400
2018-04-06,4887900
2018-04-21,4824800
2018-05-11,4865900
2018-06-20,4653100
2018-06-25,3234700
2018-06-30,4459500
2018-07-07,4846900
2018-07-10,4808200
2018-07-12,4853300
2018-07-15,4866500
2018-07-25,4893300
2018-07-27,4818300
2018-07-30,4744200
2018-08-06,4802800
2018-08-11,4854500
2018-08-21,4797900
2018-09-03,4730700
2018-09-20,4779400
2018-09-23,4718500
2018-09-25,4735600
2018-09-28,4570200
2018-10-03,4350900
2018-10-05,4337700
2018-10-13,4334300
2018-10-23,4269600
2018-10-25,4204300
2018-11-04,4442100
2018-11-24,4385100
2018-12-27,4328900
2019-01-03,4379700
2019-02-15,4647600
2019-02-17,4700600
2019-02-20,4627600
2019-02-22,4728800
2019-02-25,4612400
2019-02-27,4802900
2019-03-12,4710300
2019-03-22,4972900
2019-03-24,4935000
2019-03-27,4874900
2019-04-13,4960300
2019-05-01,5030100
2019-05-06,4861800
2019-05-13,4921400
2019-05-23,4931100
2019-05-31,4996800
2019-06-02,5013200
2019-06-17,4984200
2019-06-27,4936800
2019-06-30,5030100
2019-07-05,4940600
2019-07-07,5017900
2019-07-10,5033300
2019-07-12,4931900
2019-07-15,4865900
2019-07-22,4889400
2019-07-25,4817800
2019-08-04,4712200
2019-08-09,4712800
2019-08-14,4508600
2019-08-16,4457800
2019-08-21,3896200
2019-08-24,4427100
2019-08-26,3432600
2019-08-31,4223400
2019-09-03,4368400
2019-09-15,4160200
2019-09-20,3948600
2019-10-08,3616700
2019-10-13,3221200
2019-10-25,3225000
2019-11-04,3421700
2019-11-19,5283500
2019-11-27,3718800
2019-12-17,4304700
2019-12-27,4595500
2020-01-06,4419900
2020-01-11,4510800
2020-01-16,4427900
2020-02-15,4712000
2020-02-20,4640500
2020-02-22,4842100
2020-03-08,4918700
2020-03-11,4876100
2020-03-21,4818900
2020-04-05,4992600
2020-04-10,4808200
2020-04-15,4830600
2020-05-07,4826300
2020-05-20,4832400
2020-05-22,4835200
2020-05-25,4466000
2020-05-27,4835500
2020-05-30,4801300
2020-06-24,4842500
2020-07-14,4884700
2020-07-19,4847100
2020-07-21,4863100
2020-07-24,4747100
2020-07-31,4769800
2020-08-05,4670900
2020-08-10,4589000
2020-08-20,4205700
2020-08-25,4083900
2020-09-04,3731900
2020-09-12,3699100
2020-09-14,3644400
2020-09-17,3487500
2020-10-17,3667600
2020-10-24,3824100
2020-11-01,2951900
2020-11-11,3434900
2020-11-18,4016400
2020-11-21,3843800
2020-11-23,3829700
2020-12-18,4245900
