date,value
2018-01-01,3048120.9294474074
2018-01-03,3048120.9294474074
2018-01-11,3048120.9294474074
2018-01-18,4728971.277662616
2018-01-21,4728971.277662616
2018-01-23,5192374.409992519
2018-01-28,5696789.001361128
2018-01-31,6156381.076287323
2018-02-02,6162637.567105939
2018-02-07,6379541.08812172
2018-02-25,8431391.557573432
2018-02-27,8627533.189193668
2018-03-02,8565107.853543177
2018-03-07,8565107.853543177
2018-03-09,8714124.486232499
2018-03-19,8737715.59891754
2018-03-27,8737715.59891754
2018-04-01,9418269.540967628
2018-04-06,9433857.01856399
2018-04-11,9433857.01856399
2018-04-21,8750836.003597016
2018-04-26,8750836.003597016
2018-05-11,8905667.753114779
2018-05-18,8906046.182837361
2018-05-21,8912102.18764587
2018-06-02,8784996.632051952
2018-06-20,8119159.4865072565
2018-06-25,3828350.660947476
2018-06-27,3828350.660947476
2018-06-30,8440959.280184656
2018-07-02,8237941.6205556085
2018-07-05,8321034.614847666
2018-07-07,8676372.530644314
2018-07-10,8826381.451343838
2018-07-12,8852769.539437521
2018-07-15,8905289.331695411
2018-07-17,8892049.812955579
2018-07-20,8880709.749287255
2018-07-25,8998250.79055986
2018-07-27,8987981.616785476
2018-07-30,8715621.3555432
2018-08-01,8969740.258001493
2018-08-04,8907938.45599897
2018-08-06,8711505.284384908
2018-08-11,8896587.930711757
2018-08-14,8879954.01072475
2018-08-16,8966701.89192912
2018-08-19,8989502.59379465
2018-08-21,8809439.158968922
2018-08-24,8842586.458025495
2018-08-26,8765467.857790237
2018-08-29,8765467.857790237
2018-08-31,8696546.215962104
2018-09-03,8612276.841786386
2018-09-05,8652867.139717354
2018-09-08,8544721.844985949
2018-09-10,8544721.844985949
2018-09-13,8576980.347195618
2018-09-20,8581434.721648846
2018-09-23,8601122.494043242
2018-09-25,8475965.90735374
2018-09-28,8515114.245097747
2018-09-30,8496267.096783016
2018-10-03,8198732.059737992
2018-10-05,7880358.172797474
2018-10-13,7102261.028713107
2018-10-20,7365333.477887408
2018-10-23,7118769.025996755
2018-10-25,7036426.914306309
2018-10-30,7036426.914306309
2018-11-04,7376316.232988881
2018-11-12,7376316.232988881
2018-11-14,7376316.232988881
2018-11-24,7366019.652523352
2018-11-27,7226043.8889997415
2018-12-02,7228761.859986147
2018-12-04,7230121.043400603
2018-12-07,7069304.39957615
2018-12-17,6746383.952725962
2018-12-27,7279139.5303794565
2018-12-29,7390400.237420987
2019-01-03,7163676.211702817
2019-01-06,7325591.820963373
2019-01-11,7275389.029244204
2019-01-16,7374599.620491932
2019-01-18,7382841.241989923
2019-02-15,8071608.268446216
2019-02-17,8187495.305179214
2019-02-20,8188582.385256899
2019-02-22,8249941.587239698
2019-02-25,8201270.492743486
2019-02-27,8281256.610151186
2019-03-02,8358713.457706943
2019-03-07,8667041.054060742
2019-03-09,8668906.934579454
2019-03-12,8326881.872437247
2019-03-14,8326881.872437247
2019-03-17,8326881.872437247
2019-03-19,8326881.872437247
2019-03-22,9315338.636529734
2019-03-24,9368479.048931556
2019-03-27,9128467.880735934
2019-03-29,9280900.393035484
2019-04-01,9280900.393035484
2019-04-13,9266602.751872115
2019-05-01,9566495.37250155
2019-05-06,9356440.912270732
2019-05-13,9133834.684020218
2019-05-16,9133834.684020218
2019-05-23,9206060.989890095
2019-05-28,9154166.622717492
2019-05-31,9501034.851176517
2019-06-02,9413985.317980468
2019-06-07,9554718.895800492
2019-06-12,9481871.907964738
2019-06-17,9378581.713525368
2019-06-27,9179133.890936935
2019-06-30,9541381.276908489
2019-07-02,9510819.559692657
2019-07-05,9262354.296723407
2019-07-07,9467415.168055363
2019-07-10,9529228.89113975
2019-07-12,9453360.083137609
2019-07-15,9222622.116432445
2019-07-17,9468586.911836
2019-07-20,9161845.119132996
2019-07-22,9067630.61223614
2019-07-25,8851637.787093854
2019-08-01,8901883.912564045
2019-08-04,8627533.189193668
2019-08-06,8532132.131050006
2019-08-09,8479655.167443233
2019-08-11,8479655.167443233
2019-08-14,8188582.385256899
2019-08-16,7799926.296199054
2019-08-21,7320460.919965381
2019-08-24,7520207.952184675
2019-08-26,7168750.082507111
