date,value
2018-01-01,1285539.0085217988
2018-01-02,1285539.0085217988
2018-01-03,1285539.0085217988
2018-01-07,4180150.5348912394
2018-01-08,4180150.5348912394
2018-01-09,4180150.5348912394
2018-01-13,4819753.012851397
2018-01-14,4819753.012851397
2018-01-15,4819753.012851397
2018-01-19,5250684.9636762
2018-01-20,5250684.9636762
2018-01-21,5250684.9636762
2018-01-25,5808519.769294327
2018-01-26,5808519.769294327
2018-01-27,5808519.769294327
2018-01-31,6453023.881746281
2018-02-01,6453023.881746281
2018-02-02,6453023.881746281
2018-02-06,6866606.969240509
2018-02-07,6866606.969240509
2018-02-08,6866606.969240509
2018-02-12,6936938.630982504
2018-02-13,6936938.630982504
2018-02-14,6936938.630982504
2018-02-18,7172810.514755334
2018-02-19,7172810.514755334
2018-02-20,7172810.514755334
2018-02-24,8019181.7024689615
2018-02-25,8019181.7024689615
2018-02-26,8019181.7024689615
2018-03-02,8138653.828766428
2018-03-03,8138653.828766428
2018-03-04,8138653.828766428
2018-03-08,8193293.92676386
2018-03-09,8193293.92676386
2018-03-10,8193293.92676386
2018-03-14,8194743.913382094
2018-03-15,8194743.913382094
2018-03-16,8194743.913382094
2018-03-20,7999835.7406060975
2018-03-21,7999835.7406060975
2018-03-22,7999835.7406060975
2018-03-26,7751942.114032998
2018-03-27,7751942.114032998
2018-03-28,7751942.114032998
2018-04-01,8140821.35694228
2018-04-02,8140821.35694228
2018-04-03,8140821.35694228
2018-04-07,8105816.188355732
2018-04-08,8105816.188355732
2018-04-09,8105816.188355732
2018-04-13,8334193.927023718
2018-04-14,8334193.927023718
2018-04-15,8334193.927023718
2018-04-19,8338216.969670316
2018-04-20,8338216.969670316
2018-04-21,8338216.969670316
2018-04-25,8385471.10892546
2018-04-26,8385471.10892546
2018-04-27,8385471.10892546
2018-05-01,8476334.79605842
2018-05-02,8476334.79605842
2018-05-03,8476334.79605842
2018-05-07,8393176.694391467
2018-05-08,8393176.694391467
2018-05-09,8393176.694391467
2018-05-13,8408598.829309722
2018-05-14,8408598.829309722
2018-05-15,8408598.829309722
2018-05-19,8464534.469188191
2018-05-21,8464534.469188191
2018-05-25,8450532.605938159
2018-05-26,8450532.605938159
2018-05-27,8450532.605938159
2018-05-31,8730597.350450495
2018-06-01,8730597.350450495
2018-06-02,8730597.350450495
2018-06-06,8793265.561487174
2018-06-07,8793265.561487174
2018-06-08,8793265.561487174
2018-06-12,8480393.118939701
2018-06-14,8480393.118939701
2018-06-18,8340045.956831879
2018-06-19,8340045.956831879
2018-06-20,8340045.956831879
2018-06-24,8038910.72655697
2018-06-26,8038910.72655697
2018-06-30,8399417.226031251
2018-07-01,8399417.226031251
2018-07-02,8399417.226031251
2018-07-06,8459005.98801488
2018-07-08,8459005.98801488
2018-07-12,8378135.853724579
2018-07-13,8378135.853724579
2018-07-18,8312998.098695228
2018-07-20,8312998.098695228
2018-07-24,8278341.000430763
2018-07-25,8278341.000430763
2018-07-26,8278341.000430763
2018-07-30,8336753.929077464
2018-08-01,8336753.929077464
2018-08-05,8391708.682067364
2018-08-06,8391708.682067364
2018-08-07,8391708.682067364
2018-08-11,8278341.000430763
2018-08-13,8278341.000430763
2018-08-17,8256126.908280057
2018-08-18,8256126.908280057
2018-08-19,8256126.908280057
2018-08-23,8215420.618966088
2018-08-25,8215420.618966088
2018-08-30,8087802.708233947
2018-08-31,8087802.708233947
2018-09-04,7850190.607633253
2018-09-06,7850190.607633253
2018-09-10,8012372.038694465
2018-09-11,8012372.038694465
2018-09-12,8012372.038694465
2018-09-16,8008430.967078858
2018-09-18,8008430.967078858
2018-09-22,7968717.995042553
2018-09-23,7968717.995042553
2018-09-28,7814422.112240066
2018-09-30,7814422.112240066
2018-10-04,7442390.233084774
2018-10-05,7442390.233084774
2018-10-06,7442390.233084774
2018-10-10,7452396.609859895
2018-10-12,7452396.609859895
2018-10-16,7507382.5451243175
2018-10-17,7507382.5451243175
2018-10-18,7507382.5451243175
2018-10-22,7486262.634820681
2018-10-24,7486262.634820681
2018-10-28,7394868.794021115
2018-10-29,7394868.794021115
2018-10-30,7068632.639420962
2018-11-03,6868592.3994674655
2018-11-05,6868592.3994674655
2018-11-09,7202623.295740599
2018-11-10,7202623.295740599
2018-11-11,7202623.295740599
2018-11-15,7391087.616886717
2018-11-17,7391087.616886717
2018-11-21,7541029.938913903
2018-11-22,7541029.938913903
2018-11-23,7541029.938913903
2018-11-27,7430667.459586602
2018-11-28,6902058.297291026
2018-11-29,6902058.297291026
2018-12-03,6731965.364337441
2018-12-04,6731965.364337441
2018-12-05,6731965.364337441
2018-12-09,6951249.163020688
2018-12-15,7045477.098945342
2018-12-16,7045477.098945342
2018-12-17,7045477.098945342
2018-12-21,7196181.0405031005
2018-12-22,7196181.0405031005
2018-12-23,7196181.0405031005
2018-12-27,7099231.098778949
2018-12-28,7099231.098778949
2018-12-29,7099231.098778949
2019-01-02,1698.2306461013634
2019-01-03,1698.2306461013634
2019-01-04,1698.2306461013634
2019-01-08,3092.836463232916
2019-01-09,3092.836463232916
2019-01-10,3092.836463232916
2019-01-14,550544.0218798418
2019-01-15,550544.0218798418
2019-01-16,550544.0218798418
2019-01-20,7367048.976365892
2019-01-21,7367048.976365892
2019-01-22,7367048.976365892
2019-01-26,7510154.648282855
2019-01-28,7510154.648282855
2019-02-02,7123152.020451359
2019-02-03,7123152.020451359
2019-02-13,7946580.344180978
2019-02-14,7946580.344180978
2019-02-15,7946580.344180978
2019-02-19,8216509.611928751
2019-02-20,8216509.611928751
2019-02-21,8216509.611928751
2019-02-25,8350292.112838598
2019-02-26,8350292.112838598
2019-02-27,8350292.112838598
2019-03-03,8369337.922824416
2019-03-05,8369337.922824416
2019-03-09,8403456.493338099
2019-03-10,8403456.493338099
2019-03-11,8403456.493338099
2019-03-15,8321765.4060582705
2019-03-17,8321765.4060582705
2019-03-21,8312267.705148367
2019-03-22,8312267.705148367
2019-03-23,8312267.705148367
2019-03-27,8401620.338433057
2019-03-28,8401620.338433057
2019-03-29,8401620.338433057
2019-04-02,8291100.706943987
2019-04-03,8291100.706943987
2019-04-04,8291100.706943987
2019-04-08,8450532.605938159
2019-04-10,8450532.605938159
2019-04-14,8410068.366512029
2019-04-15,8410068.366512029
2019-04-16,8410068.366512029
2019-04-20,8358347.221132744
2019-04-22,8358347.221132744
2019-04-26,8434702.827483801
2019-04-27,8434702.827483801
2019-04-28,8434702.827483801
2019-05-02,8461217.156672189
2019-05-03,8461217.156672189
2019-05-04,8461217.156672189
2019-05-08,8473752.749210937
2019-05-09,8473752.749210937
2019-05-10,8473752.749210937
2019-05-14,8477810.433775315
2019-05-16,8477810.433775315
2019-05-20,8262314.623012002
2019-05-21,8262314.623012002
2019-05-22,8262314.623012002
2019-05-26,1033169.1667190893
2019-05-27,1033169.1667190893
2019-05-28,1033169.1667190893
2019-06-01,8364208.000648657
2019-06-02,8364208.000648657
2019-06-03,8364208.000648657
2019-06-09,8348095.961129814
2019-06-13,8362742.606902894
2019-06-14,8362742.606902894
2019-06-15,8362742.606902894
2019-06-19,8592575.882510355
2019-06-21,8592575.882510355
2019-06-25,8623810.843217801
2019-06-26,8623810.843217801
2019-06-27,8623810.843217801
2019-07-01,8572156.122484528
2019-07-03,8572156.122484528
2019-07-07,8328344.0182320485
2019-07-08,8328344.0182320485
2019-07-09,8328344.0182320485
2019-07-13,8333096.907564946
2019-07-15,8333096.907564946
2019-07-19,8409333.581335567
2019-07-20,8409333.581335567
2019-07-21,8409333.581335567
2019-07-25,8349560.029126154
2019-07-26,8349560.029126154
2019-07-27,8349560.029126154
2019-07-31,8226313.902584912
2019-08-01,8226313.902584912
2019-08-02,8226313.902584912
2019-08-06,8152748.08942503
2019-08-08,8152748.08942503
2019-08-12,7905958.617110168
2019-08-13,7905958.617110168
2019-08-14,7905958.617110168
2019-08-18,7572318.662391
2019-08-20,7572318.662391
2019-08-24,7598443.702491765
2019-08-25,7598443.702491765
2019-08-26,7598443.702491765
2019-08-30,7529227.163168688
2019-09-01,7529227.163168688
2019-09-05,7331751.35251178
2019-09-06,7331751.35251178
2019-09-07,7331751.35251178
