date,value
2018-02-25,526300
2018-04-01,472000
2018-04-21,495100
2018-04-26,497500
2018-05-11,482600
2018-06-25,327400
2018-06-30,448500
2018-07-07,431100
2018-07-12,492300
2018-07-15,461000
2018-07-25,515500
2018-07-27,484700
2018-07-30,375100
2018-08-01,508700
2018-08-04,522800
2018-08-11,491600
2018-08-19,473800
2018-08-21,468900
2018-09-03,459700
2018-09-08,447200
2018-09-23,442700
2018-09-25,406300
2018-09-30,421200
2018-10-03,434800
2018-10-05,411200
2018-10-23,459500
2019-02-15,538700
2019-02-17,533900
2019-02-20,548600
2019-02-22,532200
2019-02-27,534800
2019-03-12,543600
2019-03-22,541400
2019-03-24,537000
2019-03-27,535700
2019-03-29,544100
2019-04-01,538400
2019-04-13,524600
2019-05-01,525100
2019-05-06,520400
2019-05-13,561000
2019-06-02,527300
2019-06-27,520800
2019-07-05,526200
2019-07-12,511700
2019-07-25,504900
2019-08-04,456800
2019-08-09,499400
2019-08-14,462000
2019-08-16,467500
2019-08-24,471200
2019-08-29,430400
2019-08-31,467000
2019-09-13,487400
2019-09-15,469600
2019-10-08,461900
2020-02-20,515200
2020-02-22,305800
2020-03-08,334300
2020-03-18,401300
2020-04-05,405100
2020-04-10,507600
2020-05-05,456100
2020-05-07,244200
2020-05-20,365400
2020-05-22,487800
2020-05-25,387300
2020-05-27,463000
2020-06-21,492200
2020-07-09,451200
2020-07-14,498100
2020-07-19,386600
2020-07-21,471500
2020-07-24,482400
2020-07-29,428800
2020-07-31,442000
2020-08-05,410500
2020-08-08,425000
2020-08-10,421500
2020-08-20,400600
2020-08-25,395100
2020-09-02,392500
2020-09-04,389200
2020-09-12,373600
2020-09-14,379700
2020-09-17,390400
