date,value
2018-01-01,287800
2018-01-02,235500
2018-01-02,370600
2018-01-07,341800
2018-01-08,388500
2018-01-13,181200
2018-01-14,414700
2018-01-19,384000
2018-01-20,420800
2018-01-25,340600
2018-01-26,460900
2018-01-31,444700
2018-02-01,469900
2018-02-06,386400
2018-02-07,470300
2018-02-12,394300
2018-02-13,427700
2018-02-18,359200
2018-02-19,452200
2018-02-24,374900
2018-02-25,433300
2018-03-02,375900
2018-03-03,456700
2018-03-08,242700
2018-03-09,431300
2018-03-14,313900
2018-03-15,445600
2018-03-20,394700
2018-03-21,395900
2018-03-26,353200
2018-03-27,435500
2018-04-01,410300
2018-04-02,411000
2018-04-07,146000
2018-04-08,411400
2018-04-13,400600
2018-04-14,463800
2018-04-19,112900
2018-04-25,285200
2018-04-26,358800
2018-05-01,287900
2018-05-02,358800
2018-05-07,435400
2018-05-08,448300
2018-05-13,343800
2018-05-14,204300
2018-05-19,371500
2018-05-20,477600
2018-05-25,196400
2018-05-26,165500
2018-05-31,450700
2018-06-01,478300
2018-06-06,440700
2018-06-12,458600
2018-06-13,312600
2018-06-18,335500
2018-06-19,379200
2018-06-24,407000
2018-06-25,465700
2018-06-30,236000
2018-07-01,385000
2018-07-06,443900
2018-07-07,467300
2018-07-12,347900
2018-07-13,381500
2018-07-18,422900
2018-07-24,375800
2018-07-25,314800
2018-07-30,397100
2018-07-31,455400
2018-08-05,293600
2018-08-11,398700
2018-08-12,435600
2018-08-17,294400
2018-08-18,211000
2018-08-23,332900
2018-08-24,384700
2018-08-30,300300
2018-09-04,318600
2018-09-05,410300
2018-09-10,144200
2018-09-11,269500
2018-09-16,141600
2018-09-17,99400
2018-09-22,282500
2018-09-23,121200
2018-09-28,285600
2018-09-29,360500
2018-10-04,252100
2018-10-05,39800
2018-10-10,339400
2018-10-11,389100
2018-10-16,394200
2018-10-17,389900
2018-10-22,305300
2018-10-23,383500
2018-10-28,295900
2018-10-29,367500
2018-11-03,338300
2018-11-04,346100
2018-11-09,360200
2018-11-10,278500
2018-11-15,339100
2018-11-16,332600
2018-11-21,389300
2018-11-22,349700
2018-11-27,337000
2018-11-28,387300
2018-12-03,390300
2018-12-04,317400
2018-12-09,315900
2018-12-15,301600
2018-12-21,364100
2018-12-22,394800
2018-12-27,290600
2018-12-28,297700
2019-01-02,285400
2019-01-03,79100
2019-01-08,260900
2019-01-09,120500
2019-01-14,351800
2019-01-15,257800
2019-01-20,431400
2019-01-21,328200
2019-01-26,393600
2019-01-27,342200
2019-02-02,235700
2019-02-08,404200
2019-02-13,418800
2019-02-19,360500
2019-02-20,193300
