date,value
2018-01-01,3591666.3595089023
2018-01-02,4333014.078486688
2018-01-03,4010139.644831099
2018-01-07,5061908.6654702835
2018-01-08,5333097.231182383
2018-01-09,5333097.231182383
2018-01-13,5654017.409294569
2018-01-14,5480484.441957933
2018-01-15,6070522.5864680465
2018-01-19,6537593.313961055
2018-01-20,6410505.65067067
2018-01-21,6410505.65067067
2018-01-25,6644684.6508193165
2018-01-26,6789416.376617186
2018-01-27,6789416.376617186
2018-01-31,7432484.923724585
2018-02-01,7394186.374997175
2018-02-02,7394186.374997175
2018-02-06,7506565.9935160875
2018-02-07,7451663.3720609415
2018-02-08,7451663.3720609415
2018-02-12,7296062.160520688
2018-02-13,6763010.320785309
2018-02-14,7255329.383565592
2018-02-18,7179535.087269419
2018-02-19,7160635.460502475
2018-02-20,7160635.460502475
2018-02-24,7244482.463459302
2018-02-25,7152541.620098806
2018-02-26,7152541.620098806
2018-03-02,7015498.003987831
2018-03-03,7293343.851910613
2018-03-04,7293343.851910613
2018-03-08,7345059.815236343
2018-03-09,7195750.359737674
2018-03-10,7195750.359737674
2018-03-14,5695882.763754679
2018-03-15,5441672.669421858
2018-03-16,7055696.665452535
2018-03-20,7388721.5083797285
2018-03-21,6752459.234426244
2018-03-22,6752459.234426244
2018-03-26,6128794.876002777
2018-03-27,6284401.379433766
2018-03-28,6284401.379433766
2018-04-01,6991422.191211322
2018-04-02,6789416.376617186
2018-04-03,6789416.376617186
2018-04-07,6052831.029308716
2018-04-08,5959656.315401962
2018-04-09,5959656.315401962
2018-04-13,6118644.838542724
2018-04-14,6002395.71394076
2018-04-15,6689288.891633479
2018-04-19,7010145.010141516
2018-04-20,4642863.383643967
2018-04-21,4642863.383643967
2018-04-25,1200041.01206203
2018-04-26,4139848.9120416534
2018-04-27,1625268.2977073642
2018-05-01,4796318.201369148
2018-05-02,4076953.3199984613
2018-05-03,4076953.3199984613
2018-05-07,6358915.507249959
2018-05-08,6731376.506673722
2018-05-09,6405339.259346257
2018-05-13,7328712.931807377
2018-05-14,5927054.35524994
2018-05-15,5927054.35524994
2018-05-19,4777892.143146016
2018-05-20,6317761.539714298
2018-05-21,6161828.179487959
2018-05-25,7190343.670166734
2018-05-26,5345118.639773351
2018-05-27,5345118.639773351
2018-05-31,2763713.613556905
2018-06-01,7569899.821604114
2018-06-02,6964709.485312731
2018-06-06,8064264.2695292
2018-06-07,7708302.9845494265
2018-06-08,7708302.9845494265
2018-06-12,7683317.652685357
2018-06-13,7755584.507707367
2018-06-14,7429746.732549069
2018-06-18,7525819.346965194
2018-06-19,6911404.824417323
2018-06-20,6911404.824417323
2018-06-24,6358915.507249959
2018-06-25,8550583.421004038
2018-06-26,7209274.076132725
2018-06-30,7556113.796494271
2018-07-01,6839699.318740929
2018-07-02,6839699.318740929
2018-07-06,6225549.890603579
2018-07-07,7163334.207384183
2018-07-08,6983404.156269683
2018-07-12,7702747.931347234
2018-07-13,7028887.519005025
2018-07-18,6480412.167035176
2018-07-19,7296062.160520688
2018-07-20,7136364.743274621
2018-07-24,7605789.727896553
2018-07-25,7036926.047555083
2018-07-26,7036926.047555083
2018-07-30,6025071.063224952
2018-07-31,7147147.727019317
2018-08-01,6498584.733078129
2018-08-05,7031566.626958705
2018-08-06,6248552.793454974
2018-08-07,6248552.793454974
2018-08-11,5215851.782798694
2018-08-12,5681092.885433091
2018-08-13,5417470.439619851
2018-08-17,6587135.907734798
2018-08-18,4956398.043904126
2018-08-19,4956398.043904126
2018-08-23,3822850.455072767
2018-08-24,5676166.2876928765
2018-08-25,4109438.236967164
2018-08-30,5490204.331491878
2018-08-31,5490204.331491878
2018-09-04,5789902.794564143
2018-09-05,5703283.373862537
2018-09-06,5703283.373862537
2018-09-10,5090192.305180193
2018-09-11,3873579.6283824584
2018-09-12,3873579.6283824584
2018-09-16,1543275.046317837
2018-09-17,3213179.532330135
2018-09-18,1462960.5915806526
2018-09-22,3022508.944857618
2018-09-23,1318523.576615958
2018-09-28,2832707.960930568
2018-09-29,4844819.221743603
2018-09-30,2797194.8444611668
2018-10-04,4159445.1757198586
2018-10-05,2282509.052839589
2018-10-06,2282509.052839589
2018-10-10,2677040.0578751094
2018-10-11,5003183.718384329
2018-10-12,4126804.966717687
2018-10-16,6055357.151050832
2018-10-17,5779977.450096611
2018-10-18,5779977.450096611
2018-10-22,5779977.450096611
2018-10-23,6098364.621891373
2018-10-24,5814745.45006963
2018-10-28,5607370.604993973
2018-10-29,5431986.685538152
2018-10-30,5431986.685538152
2018-11-03,5211088.048831521
2018-11-04,5364375.031174236
2018-11-05,5364375.031174236
2018-11-09,5829671.118692899
2018-11-10,5436828.829034634
2018-11-11,5436828.829034634
2018-11-15,5175414.647063036
2018-11-16,5889524.175413576
2018-11-17,5120902.824389738
2018-11-21,5874538.37029096
2018-11-22,5453789.69217231
2018-11-23,5453789.69217231
2018-11-27,5673703.619316512
2018-11-28,6233213.816929158
2018-11-29,5757669.9239183245
2018-12-03,6111036.653803393
2018-12-04,5654017.409294569
2018-12-05,5654017.409294569
2018-12-09,5254023.257720146
2018-12-15,5465917.313446335
2018-12-16,5073685.981665483
2018-12-17,5073685.981665483
2018-12-21,5553548.601808255
2018-12-22,6485602.286148828
2018-12-23,6485602.286148828
2018-12-27,5590223.2767380355
2018-12-28,6343470.453206614
2018-12-29,6343470.453206614
2019-01-02,3542428.770508283
2019-01-03,3982250.384840077
2019-01-04,3982250.384840077
2019-01-08,2441237.5632686373
2019-01-09,2932699.5774717215
2019-01-10,2932699.5774717215
2019-01-14,3043681.7919402774
2019-01-15,4302051.746910864
2019-01-16,4302051.746910864
2019-01-20,5624538.583662324
2019-01-21,6340897.714051684
2019-01-22,6340897.714051684
2019-01-26,6608039.939118248
2019-01-27,6935371.986503818
2019-01-28,6371797.668652531
2019-02-02,6279275.214814132
2019-02-03,6279275.214814132
2019-02-08,6986076.432464252
2019-02-09,6749822.475398194
2019-02-13,7203863.391026024
2019-02-14,7298780.867554018
2019-02-15,7298780.867554018
2019-02-19,5232538.331313138
2019-02-20,5775017.290030867
2019-02-21,5775017.290030867
2019-02-25,4044569.8976520645
