date,value
2018-02-15,230.23164434690753
2018-02-22,230.23164434690753
2018-02-25,230.23164434690753
2018-03-02,32.99080052356296
2018-03-07,32.99080052356296
2018-03-09,672.5092095210372
2018-03-14,672.5092095210372
2018-03-22,2291.179938380992
2018-03-24,2291.179938380992
2018-03-27,2291.179938380992
2018-03-29,2291.179938380992
2018-04-01,166.77684967920098
2018-05-11,1304.5950895822866
2018-05-13,1304.5950895822866
2018-05-21,1304.5950895822866
2018-06-25,953337.7301952156
2018-06-27,10657411.340231722
2018-06-30,856842.8451521416
2018-07-02,856842.8451521416
2018-07-07,302.3834784727217
2018-07-10,302.3834784727217
2018-07-15,7137413.978531421
2018-07-17,7137413.978531421
2018-07-20,7137413.978531421
2018-07-22,7137413.978531421
2018-07-25,10220551.038232042
2018-07-27,9777731.207060063
2018-07-30,9777731.207060063
2018-08-01,9666628.101649702
2018-08-04,9666628.101649702
2018-08-06,10178010.821513275
2018-08-11,10284505.874421619
2018-08-16,122780.39130825562
2018-08-19,122780.39130825562
2018-08-21,166.77684967920098
2018-08-24,27130.61073444197
2018-08-29,27130.61073444197
2018-08-31,27130.61073444197
2018-09-03,9576763.343063323
2018-09-05,9576763.343063323
2018-09-08,9576763.343063323
2018-09-10,9576763.343063323
2018-09-13,9295736.30935504
2018-09-18,9507884.915173458
2018-09-20,9507884.915173458
2018-09-23,9791657.876066053
2018-09-25,9336634.932464467
2018-09-28,112.39676608228227
2018-09-30,67.57780065754083
2018-10-03,112.39676608228227
2018-10-05,67.57780065754083
2018-10-10,67.57780065754083
2018-10-13,337136.93371415016
2018-10-23,6914313.536158524
2019-02-15,101812.26043230212
2019-02-17,34527.93974958331
2019-02-20,77397.30750966916
2019-02-22,67489.37240452517
2019-02-25,98956.73796474545
2019-02-27,108611.94104972466
2019-03-02,189335.3608399146
2019-03-04,1027973.8880775057
2019-03-07,999376.0002155786
2019-03-12,4188438.132803688
2019-03-14,5923512.724725842
2019-03-17,5923512.724725842
2019-03-22,3334679.2964479304
2019-03-24,6576660.043512384
2019-03-27,2311688.844126275
2019-03-29,2230482.078957115
2019-04-01,2230482.078957115
2019-04-13,230.23164434690753
2019-04-28,8824364.100273019
2019-05-01,9618194.064800825
2019-05-06,9058717.890769904
2019-05-13,10926255.559385842
2019-05-16,8757896.573600806
2019-05-23,10926255.559385842
2019-05-31,10780572.937672008
2019-06-02,10846024.960152743
2019-06-17,10926255.559385842
2019-07-12,10671869.016873172
2019-07-15,10809641.471580634
2019-07-20,10809641.471580634
2019-07-22,10773311.119220624
2019-07-25,10549250.368390668
2019-08-01,10599665.824752646
2019-08-04,8415792.31483042
2019-08-14,1452.2371482695717
2019-08-16,6658911.582783057
2019-08-21,8009278.8904360235
2019-08-24,8357183.965845617
2019-08-26,8357183.965845617
2019-08-29,8877695.284456955
2019-08-31,8877695.284456955
2019-09-03,10621304.41641594
2019-09-05,10621304.41641594
2019-09-08,10621304.41641594
2019-09-13,9736002.891716372
2019-09-15,9051985.046478365
2019-09-18,9051985.046478365
2019-09-20,9045254.377594003
2019-09-30,345235.6815634765
2019-10-03,8150241.923380931
2019-10-05,8150241.923380931
2019-10-08,7932840.758375966
2019-10-10,8804400.914383566
2019-10-13,8415792.31483042
2019-10-15,8182427.935067016
2019-10-25,10824188.491974033
2019-10-30,10824188.491974033
2019-11-04,10824188.491974033
2019-11-09,10926255.559385842
2019-11-12,10926255.559385842
2020-02-15,6611856.305689811
2020-02-17,6611856.305689811
2020-02-20,6950282.749227549
2020-02-22,5756582.119059914
2020-02-27,6075520.040363783
2020-03-01,6075520.040363783
2020-03-08,221806.75686435113
2020-03-11,224500.5186492552
2020-04-15,594667.9591091371
2020-04-25,329121.8549857215
2020-05-05,1440226.3845300563
2020-05-07,1440226.3845300563
2020-05-17,4290105.509500425
2020-05-20,4516497.528317089
2020-05-22,4824483.629475053
2020-05-25,4824483.629475053
2020-05-27,4506549.313445293
2020-05-30,129082.47690723006
2020-06-21,10370048.523335343
2020-06-24,10606876.557979412
2020-06-26,10506120.275151797
2020-07-01,10621304.41641594
2020-07-04,10621304.41641594
2020-07-06,10542056.68779494
2020-07-09,10650185.695914542
2020-07-11,10650185.695914542
2020-07-14,1105042.5124877542
2020-07-31,9868408.462914089
2020-08-03,9896382.309728328
2020-08-05,112.39676608228227
2020-08-10,1649311.5364182575
2020-08-13,6535700.950351734
2020-08-15,6932288.005378147
2020-08-20,6611856.305689811
2020-08-23,7536778.949450773
2020-09-12,6303785.722936034
2020-09-17,6177786.847265769
2020-09-19,6177786.847265769
2020-10-24,7189.3757423959705
2020-10-27,7189.3757423959705
2020-11-01,294856.28676570655
2020-11-08,234039.72704942393
2020-11-11,87889.64828814851
