date,value
2018-01-01,1582454.2120115373
2018-01-07,4511522.22935166
2018-01-13,1714099.928687908
2018-01-25,3334679.2964479304
2018-01-31,4758107.676447562
2018-02-06,4054532.9811602053
2018-02-12,3479968.7985146
2018-02-18,2804908.409946154
2018-02-24,797352.8389026906
2018-03-02,3655134.9649240198
2018-03-08,421848.022803741
2018-03-14,105674.40829786779
2018-03-20,2234145.9009442646
2018-03-26,4149986.6597153423
2018-04-01,522458.49849856825
2018-04-07,1145852.4774056952
2018-04-13,3755591.8998179934
2018-04-19,2586228.289619571
2018-04-25,3308552.652500345
2018-05-01,4402669.177851692
2018-05-07,3636997.3257616395
2018-05-13,4712389.334934768
2018-05-19,4860389.929154263
2018-05-25,1215293.3327423509
2018-05-31,5466753.287816055
2018-06-06,5109713.827727914
2018-06-12,4591412.746686988
2018-06-18,5199313.212535174
2018-06-24,4531437.720130466
2018-07-06,4896411.865594684
2018-07-18,3686970.129652427
2018-07-30,4437178.905149643
2018-08-11,4994767.713582917
2018-08-23,4671911.928149762
2018-09-04,4824483.629475053
2018-10-10,4546399.347112264
2018-10-29,7649039.646444801
2018-11-03,4717459.677073004
2018-11-15,4541409.7570042955
2018-11-27,5723445.036387283
2018-11-28,5712417.818795116
2018-12-09,5062553.0710409265
2018-12-21,4324229.882341885
2019-01-02,5445143.781545301
2019-01-14,5310927.982225913
2019-01-26,4059282.731791994
2019-02-13,249377.10954952348
2019-02-19,288802.5916127763
2019-02-25,28218.0959859559
2019-03-03,903294.3230658041
2019-03-15,2011952.2987924595
2019-03-21,3734.490228176624
2019-03-27,18649.15250876392
2019-04-08,395570.96956560045
2019-04-20,2040053.28404437
2019-05-02,3217813.5999528775
2019-05-14,2215852.9295427995
2019-05-20,3969451.071254554
2019-05-26,4002445.302471592
2019-06-19,4922212.556293863
2019-07-01,3632469.0430852803
2019-07-13,4692131.664790041
2019-07-19,3243627.1301497202
2019-07-25,2375302.095294638
2019-08-06,3484413.498644168
2019-08-18,2833292.4353340687
2019-09-05,3709782.947061486
2019-09-11,3356519.683157088
2019-09-17,2029495.5680645257
2019-09-23,3709782.947061486
2019-09-29,2524064.4392390307
2019-10-11,2633281.901161977
2019-10-17,2382835.3037925567
2019-10-23,4290105.509500425
2019-10-29,3997724.5757468347
2019-11-04,3668763.917008683
2019-11-10,4531437.720130466
2019-11-16,1215293.3327423509
2019-11-22,205941.94892645834
2019-11-28,4804017.705689204
2019-12-04,4676963.304871623
2019-12-10,5015582.451863246
2019-12-16,2223162.275417872
2019-12-22,5236403.657040791
2019-12-23,8370192.66123066
2019-12-28,4989569.907016233
2020-01-03,4631586.341263499
2020-01-04,7882059.044716256
2020-01-09,4722532.38838451
2020-01-10,7649039.646444801
2020-01-15,774079.1043733694
2020-01-16,6932288.005378147
2020-01-21,4870670.116222131
2020-01-22,6998367.80095339
2020-01-27,3587321.1229390334
2020-01-28,6564946.0998806935
2020-02-02,4656772.032435377
2020-02-08,3737239.0051495405
2020-02-14,4536422.547896181
2020-02-20,2586228.289619571
2020-02-26,3479968.7985146
2020-03-03,2752525.0319037093
2020-03-09,4958432.467537956
2020-03-10,6605984.593609575
2020-03-15,3560350.2169374404
2020-03-21,4116468.1007796517
2020-03-27,3462214.656623706
2020-03-28,5262966.948551782
2020-04-02,3094314.0218156143
2020-04-03,4207721.633509987
2020-04-08,1519901.1834146034
2020-04-09,3614380.432832488
2020-04-14,2432053.5691475924
2020-04-15,4917047.70479604
2020-04-20,3673311.798478367
2020-04-21,6623606.529800637
2020-04-26,4397748.776779573
2020-04-27,7443779.792502679
2020-05-02,4338890.5655308915
2020-05-03,6884401.160918607
2020-05-08,2861800.5636676126
2020-05-09,6836658.622553381
2020-05-14,4193255.399351283
2020-05-15,6647134.170450863
2020-05-20,4334001.275399793
2020-05-21,6694298.162619143
2020-05-26,4783589.598551356
2020-05-27,7058676.595119545
2020-06-01,4891258.799114089
2020-06-02,7649039.646444801
2020-06-07,4231880.117152674
2020-06-08,7161717.192463544
2020-06-13,4968802.202380357
2020-06-14,7762020.88939716
2020-06-19,4106913.0705681117
2020-06-20,8060414.513392552
2020-06-25,4030820.4846372283
2020-06-26,7363586.688594717
2020-07-01,4068789.481417753
2020-07-02,7064719.839475123
2020-07-07,5151793.935427442
2020-07-08,7308289.619261903
2020-07-13,4601441.886584111
2020-07-14,7724280.5000115875
2020-07-19,3056414.185916742
2020-07-20,7958284.742364088
2020-07-25,4727607.468535949
2020-07-26,6617730.284508005
2020-07-31,3843301.075994813
2020-08-01,7010411.568360711
2020-08-06,2172216.7185249105
2020-08-07,6594247.970717875
2020-08-12,2304254.3010159233
2020-08-13,6367199.334131374
2020-08-18,4285240.191495528
2020-08-19,5624532.993995038
2020-08-24,1701055.517594038
2020-08-25,4834730.766032929
2020-08-30,3269530.2376432666
2020-08-31,5569905.884122448
2020-09-05,3187811.1555823074
2020-09-06,5078252.208302618
2020-09-11,2919188.4800448464
2020-09-12,5580812.769939408
2020-09-17,2520201.0330353607
2020-09-18,4383001.92121353
2020-09-23,1671864.0574730549
2020-09-24,5083489.947326652
2020-09-29,2712522.4372914634
2020-09-30,5520939.683494957
2020-10-05,4343782.250925189
2020-10-06,6553241.231657167
2020-10-11,4911885.209652997
2020-10-12,7990139.499475403
2020-10-17,3880494.237580553
2020-10-18,5305589.643577946
2020-10-23,4865528.842884968
2020-10-24,6500681.689748075
2020-10-29,4130818.733851755
2020-10-30,6448306.161786437
2020-11-04,4788693.078871991
2020-11-05,7724280.5000115875
2020-11-10,4901567.289727866
2020-11-11,6670698.053652823
2020-11-16,5257649.618065152
2020-11-17,4834730.766032929
2020-11-22,3347776.0941017126
2020-11-23,6600115.148530983
2020-11-28,5300253.63793862
2020-11-29,6229198.219942531
2020-12-04,5520939.683494957
2020-12-11,7505723.484951938
2020-12-16,4021352.4127239855
2020-12-17,6741606.990901549
2020-12-22,4566381.510700953
2020-12-23,7277647.316154884
2020-12-28,4606460.022066859
2020-12-29,7599056.964386458
