date,value
2018-01-01,7540097.780738318
2018-01-02,7540097.780738318
2018-01-06,7540097.780738318
2018-01-07,10351007.233132688
2018-01-08,10351007.233132688
2018-01-12,9641590.562708015
2018-01-13,9820929.760092892
2018-01-14,9820929.760092892
2018-01-18,7372858.436419221
2018-01-19,11111427.320257578
2018-01-20,8594120.132536883
2018-01-24,12323985.643860953
2018-01-25,8598316.380560411
2018-01-26,8598316.380560411
2018-01-30,6842207.590603517
2018-01-31,7756930.468136495
2018-02-01,7756930.468136495
2018-02-05,11726654.947996223
2018-02-06,8298979.884572766
2018-02-07,8298979.884572766
2018-02-11,8315461.171172121
2018-02-12,9331989.427870171
2018-02-13,3398015.6120092976
2018-02-17,1322259.3914002976
2018-02-18,2511077.9250605786
2018-02-19,2511077.9250605786
2018-02-23,4556948.313457056
2018-02-24,5376452.80919372
2018-02-25,1843991.2995487861
2018-03-01,146560.0019952542
2018-03-02,710195.7846987941
2018-03-03,710195.7846987941
2018-03-07,1722613.457728683
2018-03-08,2879040.3216916085
2018-03-09,1088817.5270905006
2018-03-13,1153869.246102647
2018-03-14,495836.9615834708
2018-03-15,495836.9615834708
2018-03-19,479516.6268301648
2018-03-20,4851925.300940239
2018-03-21,1853226.4327468576
2018-03-25,4954532.904705725
2018-03-26,4577904.809936613
2018-03-27,4577904.809936613
2018-03-31,4335632.54543765
2018-04-01,4464757.792096861
2018-04-02,4464757.792096861
2018-04-06,1664449.696101881
2018-04-07,1843991.2995487861
2018-04-08,1843991.2995487861
2018-04-12,458209.21462735184
2018-04-13,731419.3043980775
2018-04-14,1664449.696101881
2018-04-18,5115365.622149569
2018-04-19,4653168.725188859
2018-04-20,4653168.725188859
2018-04-24,4768825.880846416
2018-04-25,6624904.433543119
2018-04-26,5769247.084431166
2018-04-30,7101098.027450765
2018-05-01,6834780.04377845
2018-05-02,6834780.04377845
2018-05-06,7788743.323292261
2018-05-07,7989149.756945496
2018-05-08,7230556.866767027
2018-05-12,8869152.831237588
2018-05-13,7745018.569630365
2018-05-14,7745018.569630365
2018-05-18,9023470.628678922
2018-05-19,10420638.843189254
2018-05-24,13432821.2132303
2018-05-25,8535487.483596448
2018-05-26,8535487.483596448
2018-05-30,6258046.22066015
2018-05-31,14957019.752583751
2018-06-01,11068159.381103056
2018-06-05,19743303.522546
2018-06-06,13337142.377483224
2018-06-07,13337142.377483224
2018-06-11,12958076.203028446
2018-06-12,13748996.96483266
2018-06-17,17182552.576130908
2018-06-18,13765178.657997813
2018-06-19,13765178.657997813
2018-06-24,21142568.26193125
2018-06-29,21142568.26193125
2018-07-01,21142568.26193125
2018-07-06,21007099.654653843
2018-07-11,21007099.654653843
2018-07-13,21007099.654653843
2018-07-18,20005888.177495085
2018-07-23,20005888.177495085
2018-07-25,20005888.177495085
2018-07-30,22670502.902169045
2018-08-04,22670502.902169045
2018-08-06,22670502.902169045
2018-08-11,18206620.2921574
2018-08-16,18206620.2921574
2018-08-18,18206620.2921574
2018-08-23,16545163.923510954
2018-08-28,16545163.923510954
2018-08-29,16814182.145215698
2018-08-30,16814182.145215698
2018-09-03,12890255.392205298
2018-09-04,20310151.720198926
2018-09-09,15474984.064499978
2018-09-11,15474984.064499978
2018-09-16,16736227.784520496
2018-09-21,16736227.784520496
2018-09-23,16736227.784520496
2018-10-03,17432542.520095877
2018-10-05,17432542.520095877
2018-10-10,9499389.143891875
2018-10-15,15223364.153641362
2018-10-17,15223364.153641362
2018-10-27,19088513.659541003
2018-10-29,19088513.659541003
2018-11-02,6321975.437228164
2018-11-03,18540254.994079463
2018-11-08,14409728.527761437
2018-11-10,16664441.565125238
2018-11-15,17206856.97604749
2018-11-20,17206856.97604749
2018-11-22,17206856.97604749
2018-11-27,14415258.145756556
2018-11-28,18857971.860854298
2018-12-02,18857971.860854298
2018-12-04,18857971.860854298
2018-12-08,12425933.83331531
2018-12-09,13331837.593187667
2018-12-14,13331837.593187667
2018-12-16,13331837.593187667
2018-12-21,17292066.845544133
2018-12-22,17292066.845544133
2018-12-26,17292066.845544133
2018-12-28,17292066.845544133
2019-01-02,20610174.839716952
2019-01-03,20610174.839716952
2019-01-07,20610174.839716952
2019-01-09,20610174.839716952
2019-01-14,10631030.082204966
2019-01-15,10631030.082204966
2019-01-21,10631030.082204966
2019-01-26,17925883.432384215
2019-01-31,17925883.432384215
2019-02-01,11721702.459596276
2019-02-02,11721702.459596276
