date,value
2018-01-01,9019766.864898663
2018-01-02,8094605.029853882
2018-01-06,8858104.075640608
2018-01-07,8528724.513220811
2018-01-08,9003668.833359117
2018-01-12,9143663.205530493
2018-01-13,9787014.574722396
2018-01-14,9640768.287703458
2018-01-18,10355675.83374445
2018-01-19,10447921.954997897
2018-01-20,10148195.183818175
2018-01-24,10526073.058877163
2018-01-25,12005851.213615045
2018-01-26,11675213.016888
2018-01-30,12770275.264304109
2018-01-31,13014201.534169469
2018-02-01,12754308.457120728
2018-02-05,13327251.918672897
2018-02-06,14599608.825397745
2018-02-07,14405563.514029559
2018-02-11,15369501.645269584
2018-02-12,15647619.703957044
2018-02-13,15259302.50538718
2018-02-17,15721969.755343582
2018-02-18,16838203.201044247
2018-02-19,16722845.03532359
2018-02-23,17456413.960525252
2018-02-24,17884832.511987187
2018-02-25,17638044.427296802
2018-03-01,17905633.272534553
2018-03-02,18284027.380846497
2018-03-03,18072474.94297124
2018-03-07,18266828.581385516
2018-03-08,18192394.048717633
2018-03-09,17958635.261170574
2018-03-13,17867822.707585048
2018-03-14,18030691.927514195
2018-03-15,17797978.60855406
2018-03-19,18167616.33716233
2018-03-20,18036386.76151861
2018-03-21,17701931.40360052
2018-03-25,17606144.28710773
2018-03-26,17634289.969699666
2018-03-27,17553665.87662257
2018-03-31,17799864.486975487
2018-04-01,17818728.77097381
2018-04-02,17847043.94625003
2018-04-06,17784780.25949255
2018-04-07,17728271.404096518
2018-04-08,17711336.2967333
2018-04-12,17754631.003748443
2018-04-13,17671852.544824593
2018-04-14,17718862.011160452
2018-04-18,17792321.573265955
2018-04-19,17700050.72496069
2018-04-24,17059030.945816442
2018-04-25,17236729.861354798
2018-04-26,16996316.89671712
2018-04-30,17049801.04210189
2018-05-01,17309183.277520385
2018-05-06,17244153.98142543
2018-05-07,17521842.2325775
2018-05-08,17108915.622592855
2018-05-12,16919006.18798086
2018-05-13,17391108.181544326
2018-05-18,16353835.024234932
2018-05-19,17564904.65063227
2018-05-20,17140361.890371963
2018-05-24,17081192.913951594
2018-05-25,17379925.204422772
2018-05-30,17073803.99136154
2018-05-31,17406024.417371687
2018-06-01,17475095.25322967
2018-06-05,17482570.570155166
2018-06-06,17758398.26077415
2018-06-11,17579895.282359116
2018-06-12,17799864.486975487
2018-06-13,17402294.758450482
2018-06-17,17186658.89801796
2018-06-18,17432143.22916253
2018-06-23,17199633.25936672
2018-06-24,18140951.547384612
2018-06-25,17499395.882915203
2018-06-29,17951058.748665597
2018-06-30,17730153.582670778
2018-07-05,17636167.148500614
2018-07-06,17568651.708594486
2018-07-07,17892395.024962395
2018-07-11,17988957.310687713
2018-07-12,17735800.718367804
2018-07-17,17370608.806655478
2018-07-18,17331507.234357636
2018-07-19,17701931.40360052
2018-07-23,17945377.41425313
2018-07-24,17886722.990236275
2018-07-29,17626782.254448064
2018-07-30,17591142.455942284
2018-07-31,17824390.00609757
2018-08-04,17862154.572719477
2018-08-05,17700050.72496069
2018-08-10,17374335.065780587
2018-08-11,17353845.59029012
2018-08-12,17581769.561302193
2018-08-16,17540558.523375835
2018-08-17,17415350.31457145
2018-08-22,16941076.96338437
2018-08-23,16838203.201044247
2018-08-24,17086735.65581479
2018-08-28,16930039.77583255
2018-08-29,16509661.340994313
2018-09-03,16827199.61061389
2018-09-04,16774066.335666133
2018-09-05,15983583.88445962
2018-09-09,16143026.170068122
2018-09-10,16134047.740978489
2018-09-15,15474822.145129327
2018-09-16,15515290.437850477
2018-09-17,15796496.18063325
