date,value
2018-01-01,968600
2018-01-02,920000
2018-01-06,973600
2018-01-07,963200
2018-01-08,1000300
2018-01-12,1018500
2018-01-13,1080300
2018-01-14,1066000
2018-01-18,1112000
2018-01-19,1117800
2018-01-20,1104400
2018-01-24,1126000
2018-01-25,1197000
2018-01-26,1183000
2018-01-30,1228900
2018-01-31,1231800
2018-02-01,1215500
2018-02-05,1223500
2018-02-06,1255000
2018-02-07,1233400
2018-02-11,1261100
2018-02-12,1264200
2018-02-13,1236800
2018-02-17,1234300
2018-02-18,1271300
2018-02-19,1256200
2018-02-23,1281300
2018-02-24,1288400
2018-02-25,1274600
2018-03-01,1277100
2018-03-02,1292200
2018-03-03,1279600
2018-03-07,1290700
2018-03-08,1286700
2018-03-09,1274800
2018-03-13,1271200
2018-03-14,1278700
2018-03-15,1268000
2018-03-19,1284700
2018-03-20,1279200
2018-03-21,1265100
2018-03-25,1263100
2018-03-26,1267200
2018-03-27,1261500
2018-03-31,1273900
2018-04-01,1275200
2018-04-02,1273100
2018-04-06,1265500
2018-04-07,1263700
2018-04-08,1260700
2018-04-12,1261500
2018-04-13,1261400
2018-04-14,1264500
2018-04-18,1274300
2018-04-19,1272800
2018-04-24,1253200
2018-04-25,1258200
2018-04-26,1248100
2018-04-30,1251800
2018-05-01,1257800
2018-05-06,1262100
2018-05-07,1270500
2018-05-08,1256800
2018-05-12,1252700
2018-05-13,1266100
2018-05-18,1243800
2018-05-19,1270500
2018-05-20,1253800
2018-05-24,1240800
2018-05-25,1252200
2018-05-30,1244900
2018-05-31,1263000
2018-06-01,1259800
2018-06-05,1265500
2018-06-06,1273300
2018-06-11,1277200
2018-06-12,1283900
2018-06-13,1272800
2018-06-17,1272100
2018-06-18,1274700
2018-06-23,1262900
2018-06-24,1281800
2018-06-25,1256700
2018-06-29,1276300
2018-06-30,1272800
2018-07-05,1275100
2018-07-06,1271600
2018-07-07,1279900
2018-07-11,1286800
2018-07-12,1278100
2018-07-17,1269000
2018-07-18,1268900
2018-07-19,1275600
2018-07-23,1285800
2018-07-24,1281600
2018-07-29,1275000
2018-07-30,1274000
2018-07-31,1278800
2018-08-04,1281900
2018-08-05,1274000
2018-08-10,1266800
2018-08-11,1266900
2018-08-12,1269300
2018-08-16,1273700
2018-08-17,1270100
2018-08-22,1256800
2018-08-23,1256200
2018-08-24,1260900
2018-08-28,1252200
2018-08-29,1219700
2018-09-03,1241400
2018-09-04,1245800
2018-09-05,1215200
2018-09-09,1239500
2018-09-10,1235300
2018-09-15,1225900
2018-09-16,1224400
2018-09-17,1232200
2018-09-21,1224200
2018-09-22,1214800
2018-09-27,1199500
2018-09-28,1196900
2018-09-29,1204200
2018-10-03,1203700
2018-10-04,1188100
2018-10-09,1181600
2018-10-10,1183300
2018-10-11,1194600
2018-10-15,1224000
2018-10-16,1173800
2018-10-17,1179100
2018-10-21,1220100
2018-10-22,1215900
2018-10-23,1178500
2018-10-27,1172400
2018-10-28,1201700
2018-10-29,1168400
2018-11-02,1198700
2018-11-03,1197100
2018-11-04,1168600
2018-11-08,1160700
2018-11-09,1198700
2018-11-14,1189100
2018-11-15,1186900
2018-11-16,1195600
2018-11-20,1176900
2018-11-21,1158600
2018-11-26,1156500
2018-11-27,1157700
2018-11-28,1168900
2018-12-02,1198600
2018-12-03,1192900
2018-12-08,1186600
2018-12-09,1184800
2018-12-14,1186800
2018-12-15,1203400
2018-12-20,1213600
2018-12-21,1196600
2018-12-26,1195400
2018-12-27,1214400
2019-01-01,1200700
2019-01-02,1227300
2019-01-07,1191900
2019-01-08,1208200
2019-01-13,1200200
2019-01-14,1192500
2019-01-20,1198800
2019-01-25,1173400
2019-01-26,1185100
2019-01-27,1139400
2019-01-31,1190100
2019-02-01,1172900
2019-02-06,1230600
2019-02-07,1241900
2019-02-08,1215900
2019-02-12,1263900
2019-02-13,1252700
2019-02-18,1263000
2019-02-19,1260900
2019-02-24,1247800
2019-02-25,1261700
2019-03-02,1249100
2019-03-03,1258500
2019-03-04,1243400
2019-03-08,1247400
2019-03-09,1245400
2019-03-14,1230700
2019-03-15,1232800
2019-03-16,1240900
2019-03-20,1242800
2019-03-21,1223500
2019-03-26,1230500
2019-03-27,1225400
2019-04-01,1195600
2019-04-02,1207200
2019-04-07,1217200
2019-04-08,1205300
2019-04-09,1210200
2019-04-13,1210200
2019-04-14,1204200
2019-04-19,1192800
2019-04-20,1189500
2019-04-21,1193800
2019-04-25,1099700
2019-04-26,1168400
2019-05-01,1161600
2019-05-02,1176200
2019-05-03,1182700
2019-05-07,1210700
2019-05-08,1216800
2019-05-13,1215700
2019-05-14,1218900
2019-05-15,1221600
2019-05-19,1223300
2019-05-20,1218900
2019-05-26,1239600
2019-05-31,1253600
2019-06-01,1251500
2019-06-06,1261700
2019-06-07,1246100
2019-06-08,1251300
2019-06-12,1264900
2019-06-13,1261000
2019-06-18,1255100
2019-06-19,1253300
2019-06-20,1257900
2019-06-24,1257400
2019-06-25,1252400
2019-06-30,1248200
2019-07-01,1245700
2019-07-02,1249200
2019-07-06,1226000
2019-07-07,1219400
2019-07-12,1213300
2019-07-13,1212500
2019-07-14,1212800
2019-07-18,1218000
2019-07-19,1202600
2019-07-24,1200900
2019-07-25,1203600
2019-07-30,1115000
2019-07-31,1132000
2019-08-05,1095300
2019-08-06,1046800
2019-08-07,1054200
2019-08-11,992600
2019-08-12,986700
2019-08-17,958300
2019-08-18,942900
2019-08-19,948300
2019-08-24,880100
2019-08-29,876600
2019-08-30,860300
2019-08-31,784300
2019-09-04,732800
2019-09-05,705600
2019-09-10,632600
2019-09-11,633700
2019-09-12,603700
2019-09-16,572800
2019-09-17,583700
2019-09-22,558600
2019-09-23,560500
2019-09-28,520600
2019-09-29,541900
2019-10-04,525700
2019-10-05,505900
2019-10-06,509700
2019-10-10,487900
2019-10-11,482700
2019-10-16,472200
2019-10-17,485400
2019-10-18,476500
2019-10-22,466800
2019-10-23,481400
2019-10-28,487600
2019-10-29,492800
2019-10-30,497500
2019-11-03,521600
2019-11-04,524200
2019-11-09,545800
2019-11-10,554600
2019-11-11,561500
2019-11-15,573400
2019-11-16,598100
2019-11-21,649100
2019-11-22,669800
2019-11-23,751800
2019-11-27,825500
2019-11-28,807900
2019-12-03,888500
2019-12-04,918900
2019-12-05,905200
2019-12-09,925700
2019-12-10,944800
2019-12-15,957300
2019-12-16,1002300
2019-12-17,1170600
2019-12-21,1239200
2019-12-22,1238500
2019-12-23,1221100
2019-12-27,1241600
2019-12-28,1239200
2019-12-29,1238100
2020-01-02,1242200
2020-01-03,1252600
2020-01-04,1249200
2020-01-08,1232500
2020-01-09,1243900
2020-01-10,1243100
2020-01-14,1252300
2020-01-15,1247500
2020-01-16,1247900
2020-01-20,1252200
2020-01-21,1252200
2020-01-22,1243700
2020-01-26,1248300
2020-01-27,1246400
2020-01-28,1247700
2020-02-01,1258100
2020-02-02,1251300
2020-02-03,1242400
2020-02-07,1241700
2020-02-08,1246200
2020-02-09,1237700
2020-02-13,1249200
2020-02-14,1245100
2020-02-15,1236600
2020-02-19,1238600
2020-02-20,1235400
2020-02-21,1232100
2020-02-25,1235300
2020-02-26,1232000
2020-02-27,1226700
2020-03-02,1220100
2020-03-03,1228700
2020-03-04,1224700
2020-03-08,1233900
2020-03-09,1252400
2020-03-10,1259700
2020-03-14,1280400
2020-03-15,1275700
2020-03-16,1278700
2020-03-20,1281200
2020-03-21,1273600
2020-03-22,1272000
2020-03-27,1267300
2020-03-28,1246200
2020-04-01,1244500
2020-04-02,1257700
2020-04-03,1240800
2020-04-07,1256700
2020-04-08,1255100
2020-04-09,1253200
2020-04-13,1246200
2020-04-14,1253500
2020-04-15,1242300
2020-04-19,1244700
2020-04-20,1259000
2020-04-21,1251500
2020-04-25,1263400
2020-04-26,1263700
2020-04-27,1265400
2020-05-01,1271700
2020-05-02,1271500
2020-05-03,1272400
2020-05-07,1276900
2020-05-08,1272800
2020-05-09,1266800
2020-05-13,1264000
2020-05-14,1274100
2020-05-15,1269700
2020-05-19,1277700
2020-05-20,1282200
2020-05-21,1275300
2020-05-25,1272900
2020-05-26,1271600
2020-05-27,1271500
2020-05-31,1269000
2020-06-01,1269700
2020-06-02,1271200
2020-06-06,1275800
2020-06-07,1281700
2020-06-08,1277700
2020-06-12,1285100
2020-06-13,1283300
2020-06-14,1280900
2020-06-18,1281700
2020-06-19,1279000
2020-06-20,1278500
2020-06-24,1253100
2020-06-25,1288500
2020-06-26,1279700
2020-06-30,1271200
2020-07-01,1275600
2020-07-02,1273800
2020-07-06,1274900
2020-07-07,1274200
2020-07-08,1273600
2020-07-12,1274300
2020-07-13,1275600
2020-07-14,1267600
2020-07-18,1263300
2020-07-19,1261700
2020-07-20,1249700
2020-07-24,1242700
2020-07-25,1254900
2020-07-26,1240100
2020-07-30,1238900
2020-07-31,1231600
2020-08-01,1224900
2020-08-05,1213900
2020-08-06,1211300
2020-08-07,1207700
2020-08-11,1189200
2020-08-12,1187900
2020-08-13,1172700
2020-08-17,1147200
2020-08-18,1135600
2020-08-19,1119200
2020-08-23,1082500
2020-08-24,1067900
2020-08-25,1049500
2020-08-29,1011700
2020-08-30,982200
2020-08-31,987200
2020-09-04,950200
2020-09-05,945600
2020-09-06,926100
2020-09-10,891600
2020-09-11,876600
2020-09-12,865800
2020-09-16,837500
2020-09-17,823500
2020-09-18,814500
2020-09-22,794000
2020-09-23,790300
2020-09-24,774900
2020-09-28,778400
2020-09-29,777500
2020-09-30,775700
2020-10-04,785400
2020-10-05,810200
2020-10-06,799500
2020-10-10,812900
2020-10-11,814100
2020-10-12,801500
2020-10-16,787800
2020-10-17,779500
2020-10-18,767500
2020-10-22,748600
2020-10-23,743100
2020-10-24,740300
2020-10-28,701100
2020-10-29,739900
2020-10-30,717400
2020-11-03,725400
2020-11-04,780700
2020-11-05,755400
2020-11-09,800200
2020-11-10,806400
2020-11-11,804600
2020-11-15,822800
2020-11-16,827200
2020-11-17,832400
2020-11-21,856400
2020-11-22,857200
2020-11-23,857500
2020-11-27,870200
2020-11-28,872000
2020-11-29,875300
2020-12-03,896500
2020-12-04,900200
2020-12-09,903900
2020-12-10,945000
2020-12-11,940400
2020-12-15,993900
2020-12-16,1062000
2020-12-17,1166200
2020-12-21,1225700
2020-12-22,1231200
2020-12-23,1231600
2020-12-27,1243100
2020-12-28,1242800
2020-12-29,1243900
