date,value
2018-02-15,5963886.293554172
2018-02-25,6130932.312929665
2018-03-02,6334273.271205069
2018-03-22,5978164.4415359255
2018-04-21,5926488.006513534
2018-05-11,5708948.698125091
2018-05-21,4766772.159206877
2018-06-20,5535806.480874254
2018-06-25,3732663.0863560373
2018-06-30,5453652.512056229
2018-07-15,5423854.501965471
2018-07-25,5555581.112806999
2018-08-04,5470716.881677095
2018-08-19,5344232.697073613
2018-09-03,5282808.027389717
2018-09-08,5492085.119647884
2018-09-23,5068584.641640137
2018-10-03,4562693.424433077
2018-10-13,4759605.158063103
2018-10-23,4074750.504952309
2018-11-12,4453483.90459462
2018-11-17,4293302.471826725
2019-02-15,5842333.9306486575
2019-02-20,6093008.998828805
2019-02-25,5589193.213600284
2019-03-07,5755281.763336033
2019-03-22,5833510.883535458
2019-03-27,5778080.188345033
2019-05-01,5691513.564140007
2019-05-16,5673235.5934672635
2019-07-05,5922932.447278745
2019-07-10,5959427.900438554
2019-07-15,5628969.569921195
2019-07-25,5042325.752723763
2019-08-04,3759473.99079962
2019-08-09,3111123.1119157085
2019-08-14,2903972.995333075
2019-08-24,2307921.4517231807
2019-09-13,1024503.3891932276
2019-10-08,849893.0823643337
2019-10-13,668110.2875982223
2020-02-05,5088323.910975737
2020-02-20,4989198.960294515
2020-03-21,6068692.335076025
2020-03-26,6199856.855847391
2020-04-05,6196219.568589489
2020-04-10,6038141.04898412
2020-05-05,5517782.41161007
2020-05-20,5394986.633633738
2020-05-25,5524645.231268265
2020-05-30,5556441.685387264
2020-07-09,5144461.793764019
2020-07-19,5497219.742512443
2020-07-24,5561606.531341214
2020-08-08,4688233.997391532
2020-09-02,2504320.858364526
2020-11-11,1672337.6202204812
