date,value
2018-01-01,2940704.3330302257
2018-01-02,2817133.546549741
2018-01-06,3363449.274873272
2018-01-07,3386209.0923511726
2018-01-08,3409719.1066990434
2018-01-12,3955657.255892007
2018-01-13,4016077.4043129715
2018-01-14,3627774.6228156704
2018-01-18,4322068.602403687
2018-01-19,4091698.384924112
2018-01-20,4180697.0411625872
2018-01-24,4921772.313528706
2018-01-25,4597828.170841261
2018-01-26,4696137.294552257
2018-01-30,5134532.555314742
2018-01-31,4759605.158063103
2018-02-01,4841952.276089002
2018-02-05,5181782.5269619245
2018-02-06,5221741.140671174
2018-02-07,5066941.447593768
2018-02-11,5179290.249053027
2018-02-12,5034133.944123935
2018-02-13,4006583.5257930113
2018-02-17,5225912.391202471
2018-02-18,5391595.517278949
2018-02-19,5380581.809118003
2018-02-23,5388205.475316098
2018-02-24,5287843.1350287385
2018-02-25,5321472.288359606
2018-03-01,5281130.195288467
2018-03-02,5481823.127087696
2018-03-03,5420454.253067387
2018-03-07,4994906.683624188
2018-03-08,5214237.119073764
2018-03-09,5200077.692188592
2018-03-13,5315579.431698508
2018-03-14,5375502.386668937
2018-03-15,5328211.01024809
2018-03-19,5235930.240084743
2018-03-20,5151915.065906823
2018-03-21,5171817.040258117
2018-03-25,5339170.598399468
2018-03-26,5291201.216240771
2018-03-27,5039867.5054448685
2018-03-31,5153572.086986528
2018-04-01,5297080.4432429895
2018-04-02,5233424.871557982
2018-04-06,4753239.05212508
2018-04-07,5281969.077769703
2018-04-08,4665352.367118993
2018-04-12,5092441.124863717
2018-04-13,5358588.436869035
2018-04-14,4469664.663359239
2018-04-18,5126265.573587129
2018-04-19,5186768.895259164
2018-04-24,5104802.8345265705
2018-04-25,5207571.442634604
2018-04-26,4754830.176105261
2018-04-30,5287003.782574326
2018-05-01,5396682.594709753
2018-05-06,5139495.966298206
2018-05-07,5279452.631741991
2018-05-08,2150426.6599345775
2018-05-12,5209237.458954477
2018-05-13,5455357.740209107
2018-05-18,4121997.735315457
2018-05-19,5323998.805495534
2018-05-20,1984682.869153326
2018-05-24,3846919.702713351
2018-05-25,5391595.517278949
2018-05-30,5125439.244593164
2018-05-31,5413656.978575523
2018-06-01,5062834.637025492
2018-06-05,5227581.361346871
2018-06-06,5448538.439326235
2018-06-11,5469863.025209025
2018-06-12,5419604.358723776
2018-06-13,4453483.90459462
2018-06-17,5261854.428331584
2018-06-18,5428106.324022402
2018-06-23,5230085.320063999
2018-06-24,5132051.755998223
2018-06-25,5193421.145565312
2018-06-29,5212570.29717339
2018-06-30,5396682.594709753
2018-07-05,5534088.626758708
2018-07-06,5190926.04822814
2018-07-07,5215070.630721974
2018-07-11,5245121.760700672
2018-07-12,5311372.262633387
2018-07-17,5414506.402855451
2018-07-18,5251811.605229867
2018-07-19,5296240.352251106
2018-07-23,5335797.208839078
2018-07-24,5374656.051279015
2018-07-29,5352674.899797299
2018-07-30,5188431.555058311
2018-07-31,4837135.833327654
2018-08-04,5312213.562162735
2018-08-05,5070228.104155553
2018-08-10,5329896.362151807
2018-08-11,5117179.646409079
2018-08-12,3879165.186840921
2018-08-16,5268555.014666703
2018-08-17,5363659.801634821
2018-08-22,5186768.895259164
2018-08-23,4740519.720286897
2018-08-24,4012424.5726667177
2018-08-28,5067763.011058363
2018-08-29,4842755.251375641
2018-09-03,4723851.658691944
2018-09-04,4772350.250200315
2018-09-05,4529247.104548182
2018-09-09,4878958.582349441
2018-09-10,5051344.493917672
2018-09-15,4778729.236488737
2018-09-16,4590008.71307607
2018-09-17,3808404.1412947015
2018-09-21,4747672.23132841
2018-09-22,4831519.702831085
2018-09-27,4562693.424433077
2018-09-28,4412778.234312623
2018-09-29,3586931.2496322487
2018-10-03,4524590.033968342
2018-10-04,4529247.104548182
2018-10-09,4789902.793849257
2018-10-10,4334968.999010301
2018-10-11,4466580.33433843
2018-10-15,4999801.63518101
2018-10-16,4498245.566265749
2018-10-17,4534683.404725703
2018-10-21,4711964.012200133
2018-10-22,4362351.43860408
2018-10-23,4319794.072864941
2018-10-27,4805087.939471092
2018-10-28,4745287.457236011
2018-10-29,4058572.6560806204
2018-11-02,4677180.65021298
2018-11-03,4374549.299743545
2018-11-04,4231557.974585489
2018-11-08,4654326.25226605
2018-11-09,4792298.838299362
2018-11-14,4561914.194756695
2018-11-15,4261620.9389144955
2018-11-16,4278955.703989573
2018-11-20,2853308.9855496865
2018-11-21,4550233.797042716
2018-11-26,4558797.946673747
2018-11-27,4311459.2928166315
2018-11-28,4263126.902210307
2018-12-02,4566590.5787533
2018-12-03,4727817.561534455
2018-12-08,4600175.315962246
2018-12-09,4259362.496672041
2018-12-14,4706421.608954932
2018-12-15,4723851.658691944
2018-12-20,4740519.720286897
2018-12-21,4461955.852345625
2018-12-26,4636240.460085799
2018-12-27,4653539.175682563
2019-01-01,4723851.658691944
2019-01-02,4363113.302128657
2019-01-07,4561135.032142661
2019-01-08,4700882.492561266
2019-01-13,4604871.417007509
2019-01-14,4704838.668879329
2019-01-20,4243570.291536216
2019-01-25,4479696.141919509
2019-01-26,4290280.088749852
2019-01-27,2742464.7484171377
2019-01-31,4854807.931942603
2019-02-01,4728610.9433455095
2019-02-06,5173477.283427041
2019-02-07,4859633.231124685
2019-02-08,4860437.682488101
2019-02-12,5065298.522015771
2019-02-13,5235930.240084743
2019-02-18,5103978.250705359
2019-02-19,4837938.406055158
2019-02-24,5131224.957140336
2019-02-25,5172647.128278646
2019-03-02,5058729.504373969
2019-03-03,5052985.137541837
2019-03-04,3864817.116609299
2019-03-08,4949336.968934827
2019-03-09,5143633.988041006
2019-03-14,4903977.695031567
2019-03-15,4804288.117480899
2019-03-16,4153896.122093794
2019-03-20,4801889.054045972
2019-03-21,4943655.551524581
2019-03-26,4173243.629412246
2019-03-27,4379127.922323292
2019-04-01,4648031.517629155
2019-04-02,4374549.299743545
2019-04-07,4670870.354471835
2019-04-08,4465809.419711803
2019-04-09,2734631.9770227643
2019-04-13,4179951.3984131287
2019-04-14,4895899.96814012
2019-04-19,4673236.21231247
2019-04-20,3171815.299949286
2019-04-21,712026.9355654006
2019-04-25,1421765.3713096103
2019-04-26,5064477.1599022
2019-05-01,4742903.286889627
2019-05-02,4269153.436482914
2019-05-03,3005386.141228669
2019-05-07,4868485.88638304
2019-05-08,5127091.969704261
2019-05-13,4805087.939471092
2019-05-14,4629958.066592532
2019-05-15,3544262.1755967736
2019-05-19,5000617.695325457
2019-05-20,5182613.420522347
2019-05-26,4769162.36711942
2019-05-31,5023494.626430311
2019-06-01,5255994.939971042
2019-06-06,5225078.006830127
2019-06-07,4819496.20766945
2019-06-08,4120517.1049044454
2019-06-12,5229250.600024775
2019-06-13,5363659.801634821
2019-06-18,5141978.577969684
2019-06-19,4858828.846856578
2019-06-20,4817894.215534292
2019-06-24,5137013.958747313
2019-06-25,5299601.119060576
2019-06-30,5002250.016945097
2019-07-01,4711172.039071013
2019-07-02,3787800.45565514
2019-07-06,3943338.986407427
2019-07-07,5107276.988716398
2019-07-12,4961522.507150857
2019-07-13,4593917.603633785
2019-07-14,1278785.2778009186
2019-07-18,4718302.212092238
2019-07-19,4836333.327693034
2019-07-24,4176969.4975822303
2019-07-25,3904338.776439054
2019-07-30,3867684.5873998157
2019-07-31,4005123.934023748
2019-08-05,3017395.206929152
2019-08-06,2873644.134234425
2019-08-07,2849619.503637182
2019-08-11,3129139.8504399396
2019-08-12,3520288.411859367
