date,value
2018-01-04,67600
2018-01-19,10000
2018-01-24,81700
2018-02-08,7000
2018-03-05,66100
2018-03-10,57700
2018-03-15,52100
2018-04-04,43800
2018-04-09,32500
2018-04-14,25700
2018-04-19,34100
2018-09-21,104300
2018-10-06,93200
2018-10-16,106900
2018-10-26,88100
2018-10-31,87900
2018-11-05,52200
2018-11-20,70500
2018-12-05,70100
2018-12-20,68200
2018-12-25,77100
2019-01-14,68400
2019-01-24,300
2019-02-03,53600
2019-02-08,46400
2019-02-13,40300
2019-04-09,32300
2019-04-24,26200
2019-09-26,114700
2019-10-01,109400
2019-10-11,97800
2019-10-21,98400
2019-11-25,55800
2019-11-30,81700
2019-12-05,45400
2019-12-10,72800
2019-12-15,70900
2019-12-25,58400
2019-12-30,100
2020-01-04,70900
2020-01-09,59300
2020-01-14,67200
2020-02-03,20100
2020-02-23,36400
2020-03-09,36900
2020-03-29,26900
2020-04-18,37800
2020-04-28,33500
2020-05-13,23700
2020-11-14,73600
2020-11-19,60200
2020-11-24,57600
2020-12-09,39800
2020-12-14,58000
2020-12-29,36500
