date,value
2018-01-04,65916229.06432774
2018-01-14,59180444.17566795
2018-01-24,54728035.657472976
2018-01-29,53314212.127923295
2018-02-03,46317212.19813286
2018-02-08,36836585.588980064
2018-02-18,46694875.74702997
2018-02-23,47106247.36226377
2018-02-28,45466615.42993186
2018-03-05,43274880.0218882
2018-03-10,46736749.5477012
2018-03-25,46074634.344864495
2018-04-09,38615792.06335942
2018-04-29,35785667.89220029
2018-05-09,35199293.62301722
2018-05-19,30368775.50928522
2018-05-24,32736500.841745805
2018-05-29,31454112.690381084
2018-09-11,9600614.830634274
2018-10-21,7603246.487959945
2018-10-26,5881736.840034477
2018-10-31,6063487.724466929
2018-11-10,4217393.241665535
2018-11-15,4526582.007485872
2018-11-25,3550538.157249144
2018-12-25,4005213.4764498305
2018-12-30,3761193.1643610843
2019-01-04,3573258.9713300923
2019-01-09,3255325.4892507405
2019-01-14,2951579.258267548
2019-01-19,2788858.33138266
2019-01-24,2672190.250647947
2019-01-29,3480229.6046301345
2019-02-13,2062405.6646897963
2019-02-18,2151727.8109399234
2019-02-23,1973464.5331363278
2019-03-05,1683486.7482315055
2019-03-10,1648251.5633717575
2019-03-15,1668255.1826254318
2019-03-20,1464779.8208016595
2019-03-30,1258549.2322106843
2019-04-09,1056289.065633785
2019-04-19,972658.4545664624
2019-04-24,699410.5923691436
2019-04-29,735234.3292877098
2019-05-09,684011.116837886
2019-05-24,602872.3266624518
2019-07-18,331816.08517856424
2019-11-05,35056305.832573205
2019-11-10,38714717.543346845
2019-11-25,46772743.81485718
2020-01-14,50614537.4995418
2020-01-19,51290729.328543805
2020-01-24,48022573.00516451
2020-01-29,48932881.12618952
2020-02-03,51104458.6506677
2020-02-18,47102311.95582386
2020-02-23,47491736.31087462
2020-03-04,48473118.50386629
2020-03-19,46319822.63221057
2020-03-24,45465317.44689085
2020-03-29,44636887.778227314
2020-04-03,43712298.14818531
2020-04-13,43593046.60015918
2020-04-18,40646243.961578414
2020-04-23,41914810.02494773
2020-05-03,41231789.48890178
2020-05-08,35682405.71236681
2020-05-13,40090709.123798
2020-05-23,38169718.312294714
2020-05-28,37382580.64127804
2020-10-30,69471214.72770718
2020-11-09,67954091.20398414
2020-11-14,67706843.77513468
2020-12-09,68483870.64435647
2020-12-24,68846556.88125516
2020-12-29,68688637.1755781
