date,value
2018-01-05,58759544.28243998
2018-01-12,58759544.28243998
2018-01-17,52732523.822433196
2018-01-24,52732523.822433196
2018-01-29,48484365.17779426
2018-02-05,48484365.17779426
2018-02-10,47037391.95327541
2018-02-17,47037391.95327541
2018-02-22,45710183.01323804
2018-03-01,45710183.01323804
2018-03-06,43598814.592175394
2018-03-13,43598814.592175394
2018-03-18,46353109.5243144
2018-03-25,46353109.5243144
2018-03-30,41451935.02503535
2018-04-06,41451935.02503535
2018-04-11,31450043.95134385
2018-04-18,31450043.95134385
2018-04-23,38492241.756914206
2018-04-30,38492241.756914206
2018-05-05,38448409.89673822
2018-05-12,38448409.89673822
2018-05-17,35074920.42780198
2018-05-24,35074920.42780198
2018-05-29,28681178.229073137
2018-06-05,28681178.229073137
2018-06-10,36164452.377498806
2018-06-17,36164452.377498806
2018-06-22,34827168.861008465
2018-06-29,34827168.861008465
2018-07-04,28691356.52688523
2018-07-11,28691356.52688523
2018-07-16,35206507.70103899
2018-07-23,35206507.70103899
2018-07-28,26955599.266079664
2018-08-04,26955599.266079664
2018-08-09,22299327.407886658
2018-08-16,22299327.407886658
2018-08-21,24881181.79722849
2018-08-28,24881181.79722849
2018-09-02,23555687.766776267
2018-09-09,23555687.766776267
2018-09-14,12834913.876010872
2018-09-21,12834913.876010872
2018-09-26,11294445.502709199
2018-10-03,11294445.502709199
2018-10-08,9766508.397473829
2018-10-20,8018190.0507195685
2018-10-27,8018190.0507195685
2018-11-01,6523928.682569461
2018-11-08,6523928.682569461
2018-12-07,8314454.948311117
2018-12-14,8314454.948311117
2018-12-21,12109926.52475428
2018-12-26,12109926.52475428
2019-01-12,9812831.728605002
2019-01-19,9812831.728605002
2019-01-24,7602106.253526109
2019-01-31,7602106.253526109
2019-02-05,3841816.1343005067
2019-02-11,7445623.65853015
2019-02-12,7445623.65853015
2019-02-23,5750535.379879096
2019-02-24,5750535.379879096
2019-03-07,4055509.730424656
2019-03-08,4055509.730424656
2019-03-19,6331274.020122839
2019-03-20,6331274.020122839
2019-03-31,2972794.1355751283
2019-04-01,2972794.1355751283
2019-04-12,1163349.7650684826
2019-04-13,1163349.7650684826
2019-04-24,1608939.438337784
2019-04-25,1608939.438337784
2019-05-06,727311.030993517
2019-05-07,727311.030993517
2019-05-18,1572284.0674508824
2019-05-19,1572284.0674508824
2019-05-30,255924.17171576916
2019-05-31,255924.17171576916
2019-06-11,868993.6345418174
2019-06-12,868993.6345418174
2019-06-17,868993.6345418174
2019-06-23,1134197.707692394
2019-06-24,1134197.707692394
2019-06-29,1134197.707692394
2019-07-05,770246.5293005615
2019-07-11,770246.5293005615
2019-07-17,1509335.3108401927
2019-07-23,1509335.3108401927
2019-07-29,466452.32537318754
2019-07-30,466452.32537318754
2019-08-04,466452.32537318754
2019-08-10,408869.93007114035
2019-08-11,408869.93007114035
2019-08-22,538771.1221980292
2019-08-23,538771.1221980292
2019-09-03,451028.4620331449
2019-09-04,451028.4620331449
2019-09-15,319376.65105442144
2019-09-16,319376.65105442144
2019-09-27,3214118.447468161
2019-09-28,3214118.447468161
2019-10-04,3214118.447468161
2019-10-09,14266458.883068759
2019-10-10,14266458.883068759
2019-10-16,14266458.883068759
2019-10-21,24331908.08062014
2019-10-22,24331908.08062014
2019-10-27,28912151.33230412
2019-10-28,28912151.33230412
2019-11-02,33087068.70807459
2019-11-03,33087068.70807459
