date,value
2018-01-04,4615300
2018-01-09,4555700
2018-01-14,4397000
2018-01-24,4407600
2018-01-29,4320700
2018-02-03,4174000
2018-02-08,3764200
2018-02-18,3830500
2018-02-23,3773500
2018-02-28,3467700
2018-03-05,3185500
2018-03-20,3074100
2018-03-25,2929900
2018-03-30,2858900
2018-04-09,2740100
2018-04-19,2680300
2018-04-24,2644900
2018-04-29,2499600
2018-05-09,2086300
2018-05-14,2116300
2018-05-19,2053500
2018-05-29,1992600
2018-06-03,1971300
2018-09-26,5277800
2018-10-06,5281000
2018-10-16,5283900
2018-10-21,4826500
2018-10-26,5284900
2018-10-31,5277900
2018-11-10,5232900
2018-11-15,5119600
2018-11-25,5040000
2018-11-30,4978600
2018-12-10,4791600
2018-12-15,4686800
2018-12-20,4579800
2018-12-25,4482700
2018-12-30,4283600
2019-01-04,4163500
2019-01-09,3908300
2019-01-14,3825900
2019-01-19,3662500
2019-01-24,3587000
2019-01-29,3456900
2019-02-03,3276000
2019-02-13,3017400
2019-02-18,2857200
2019-02-23,2795100
2019-02-28,2600100
2019-03-05,2607800
2019-03-10,2405300
2019-03-20,2331800
2019-04-09,1999600
2019-04-14,2030100
2019-04-19,1952900
2019-04-24,1954700
2019-04-29,1747800
2019-05-04,1793300
2019-05-14,1734200
2019-05-19,1610800
2019-05-24,1635700
2019-05-29,1562700
2019-06-18,1469600
2019-07-18,4065800
2019-07-23,4323600
2019-10-16,5301900
2019-11-05,5305300
2019-11-10,5299400
2019-11-15,5302500
2019-11-20,5296000
2019-11-25,5295900
2019-12-05,5279000
2019-12-20,5240600
2020-01-14,4939200
2020-01-19,4986700
2020-01-24,4892000
2020-01-29,4776400
2020-02-03,4597700
2020-02-13,4464400
2020-02-18,4386900
2020-02-23,4238500
2020-02-28,4078800
2020-03-04,3864900
2020-03-24,3170800
2020-03-29,3120600
2020-04-03,2966500
2020-04-08,2625000
2020-04-18,2483300
2020-04-23,2392600
2020-04-28,2329500
2020-05-03,2222400
2020-05-08,2228500
2020-05-18,2112100
2020-05-23,1990300
2020-05-28,1928300
2020-08-31,5268600
2020-11-04,5292200
2020-11-09,5298200
2020-11-14,5276000
2020-11-19,5271900
2020-11-29,5164100
2020-12-04,5113300
2020-12-09,4980800
2020-12-24,4759400
2020-12-29,4654300
