date,value
2018-01-05,21090069.895384617
2018-01-17,18386379.791328605
2018-01-29,17729619.12280429
2018-02-10,13712875.88590871
2018-02-22,14359293.807521636
2018-03-06,11530593.869329572
2018-03-18,10905533.200567102
2018-03-30,8998919.384174867
2018-04-11,9460570.092120182
2018-04-23,7784746.835010675
2018-05-05,4757208.380040902
2018-05-17,5136002.884598816
2018-05-29,3982115.286971282
2018-06-10,9399845.927285248
2018-06-22,9383525.689872693
2018-07-04,11058213.206023732
2018-07-16,27244465.332744468
2018-07-28,27458973.813237686
2018-08-09,27508790.880456492
2018-08-21,27145280.606533214
2018-09-02,27607616.511728834
2018-09-14,27718629.230254047
2018-09-26,27827049.99935874
2018-10-08,27333679.738584634
2018-10-20,23987335.05115129
2018-11-01,27115005.021451946
2018-12-07,23328884.702385418
2019-01-12,14697147.807635933
2019-01-24,13961212.746192297
2019-02-05,10519551.458879799
2019-02-11,11048839.371969737
2019-02-23,9000636.397435132
2019-03-07,7415267.189878861
2019-03-19,5564828.530500561
2019-03-31,5390799.055905593
2019-04-12,2688788.633044265
2019-04-24,4549584.4137448585
2019-05-06,4757644.153181151
2019-05-18,4161502.2321982733
2019-05-30,2741931.1740480736
2019-06-11,3176722.4037705935
2019-06-17,5415647.168758487
2019-06-23,2985301.270682039
2019-06-29,6587400.4703537645
2019-07-05,13311794.003697198
2019-07-11,17095147.187285107
2019-07-17,18717801.302608583
2019-07-23,20046939.443223156
2019-07-29,21551043.711121857
2019-08-04,26637113.492565688
2019-08-10,26903480.62198948
2019-08-22,27789035.797283266
2019-09-03,27693634.759790305
2019-09-15,27828904.91909871
2019-09-27,27808503.71005216
2019-10-09,27688081.742490917
2019-10-21,27866014.416419208
2019-10-27,28091908.874552116
2019-11-02,28072356.348790392
2019-11-08,27829832.39879586
2019-11-14,27828904.91909871
2019-11-20,27758455.14292646
2019-11-26,27633502.43886503
2019-12-02,27601146.6509787
2019-12-08,27542947.08745859
2019-12-14,27332759.366220877
2019-12-20,27069160.45452594
2019-12-26,26760121.809085995
2020-01-01,25761312.113453012
2020-01-07,25902361.407374684
2020-01-13,25452520.878712393
2020-01-19,24751441.321155865
2020-01-31,22701235.47484501
2020-02-12,20846836.160972837
2020-02-24,17481789.896170385
2020-03-07,15054042.289602187
2020-03-19,13550195.94985958
2020-03-31,10670521.674900033
2020-04-12,7309693.893638611
2020-04-24,6998409.561815846
2020-05-18,5681845.983257471
2020-05-30,5296001.072267054
2020-06-11,5158988.990539707
2020-06-23,4901938.771487774
2020-07-05,4727181.267970727
2020-07-17,7615558.621791092
2020-07-29,17760989.659032907
2020-08-10,21386690.509463396
2020-08-22,27084743.885127075
2020-09-03,27115922.251149293
2020-09-15,27548487.639608417
2020-09-27,27936580.712083984
2020-10-09,27494026.24245504
2020-10-21,27142527.683622073
2020-11-02,27364980.283763975
2020-11-14,26841348.697761573
2020-11-26,26487099.238103636
2020-12-08,24306801.50072481
2020-12-20,23011579.836237654
