date,value
2018-01-02,2100
2018-01-04,3300
2018-01-07,3300
2018-01-09,4300
2018-01-14,4300
2018-01-17,2500
2018-01-19,1000
2018-01-22,1000
2018-01-24,1400
2018-01-27,1600
2018-01-29,1600
2018-02-03,600
2018-06-01,1000
2018-06-06,1000
2018-12-15,1000
2018-12-20,1000
2019-01-04,1000
2019-02-03,1000
2019-04-04,1000
2019-11-10,900
2019-12-08,1000
2020-01-17,4600
2020-01-19,4600
2020-01-24,4600
2020-09-18,1100
2020-10-18,5500
2020-10-23,5500
2020-10-25,6300
2020-10-28,6200
2020-10-30,6300
2020-11-02,6800
2020-11-04,6200
2020-11-07,6700
2020-11-09,6400
2020-11-12,7900
2020-11-14,2700
2020-11-17,7000
2020-11-19,2700
2020-11-22,5800
2020-12-02,8300
2020-12-07,7600
2020-12-09,7000
2020-12-12,7500
2020-12-14,7500
2020-12-17,7600
2020-12-19,7200
2020-12-22,6700
2020-12-24,5400
2020-12-27,6100
2020-12-29,5100
