date,value
2018-01-05,8955200
2018-01-17,8486700
2018-01-29,8304500
2018-02-10,7704800
2018-02-22,7493000
2018-03-06,6521600
2018-03-18,6042300
2018-03-30,3800100
2018-04-11,2745300
2018-04-23,2521100
2018-05-05,2179000
2018-05-17,2179500
2018-05-29,2140600
2018-06-10,2080700
2018-06-22,1948900
2018-07-04,1960800
2018-07-16,2273800
2018-07-28,2242000
2018-08-09,2070700
2018-08-21,9201000
2018-09-02,10396000
2018-09-14,9947000
2018-09-26,9577100
2018-10-08,8582900
2018-10-20,8085400
2018-11-01,7768800
2018-12-07,7079000
2019-01-12,6446900
2019-01-24,6387100
2019-02-05,6237400
2019-02-11,6356500
2019-02-23,5502600
2019-03-07,3354800
2019-03-19,3342400
2019-03-31,3005400
2019-04-12,2601100
2019-04-24,1913900
2019-05-06,1846400
2019-05-18,1815000
2019-05-30,1852500
2019-06-11,1276000
2019-06-17,1276000
2019-06-23,1172500
2019-06-29,1237400
2019-07-05,1229200
2019-07-11,1347700
2019-07-17,1361100
2019-07-23,1312700
2019-07-29,1391000
2019-08-04,6290300
2019-08-10,10211500
2019-08-22,10621800
2019-09-03,11026900
2019-09-15,10925700
2019-09-27,10799500
2019-10-09,10188400
2019-10-21,10526500
2019-10-27,10636600
2019-11-02,10554600
2019-11-08,10280600
2019-11-14,10265500
2019-11-20,10156200
2019-11-26,9998500
2019-12-02,10118100
2019-12-08,10157700
2019-12-14,10202600
2019-12-20,10206000
2019-12-26,10175900
2020-01-01,10104300
2020-01-07,10140700
2020-01-13,9719700
2020-01-19,9641700
2020-01-31,9256200
2020-02-12,9427700
2020-02-24,8667200
2020-03-07,8273900
2020-03-19,7490200
2020-03-31,6045900
2020-04-12,3374300
2020-04-24,3343200
2020-05-18,3005100
2020-05-30,3263400
2020-06-11,3018000
2020-06-23,3153400
2020-07-05,2803000
2020-07-17,3451100
2020-07-29,3201000
2020-08-10,3234900
2020-08-22,11029900
2020-09-03,10397200
2020-09-15,10788100
2020-09-27,10803200
2020-10-09,10135700
2020-10-21,10230700
2020-11-02,10042800
2020-11-14,9910900
2020-11-26,10017000
2020-12-08,9712600
2020-12-20,9769700
