date,value
2018-01-04,15386900
2018-01-14,14231000
2018-01-24,14676500
2018-01-29,14440300
2018-02-03,14371500
2018-02-08,14686600
2018-02-13,14908600
2018-02-18,14689800
2018-02-23,14671200
2018-02-28,14629100
2018-03-05,14609900
2018-03-10,13946100
2018-03-20,13924300
2018-03-25,13756200
2018-03-30,13766900
2018-04-09,13774300
2018-04-14,13698700
2018-04-24,13611600
2018-04-29,13434100
2018-05-09,12815000
2018-05-14,12963200
2018-05-19,12748300
2018-05-29,12593300
2018-10-21,11868600
2018-10-26,11407800
2018-10-31,11440200
2018-11-10,11623800
2018-11-15,11250700
2018-12-15,12093500
2018-12-25,11822200
2018-12-30,11752900
2019-01-04,11696400
2019-01-09,11724000
2019-01-14,11628300
2019-01-19,11005000
2019-01-24,11530400
2019-01-29,11286200
2019-02-03,11111000
2019-02-18,10581000
2019-02-23,10919400
2019-02-28,10788200
2019-03-05,10660800
2019-03-10,10480100
2019-03-15,10201800
2019-03-20,10284300
2019-03-30,9915600
2019-04-19,9273300
2019-04-24,8815900
2019-04-29,8156100
2019-05-04,8769600
2019-05-09,8370100
2019-05-19,7738900
2019-05-24,7900600
2019-05-29,335400
2019-11-05,4731300
2019-11-10,4589700
2019-11-25,4141700
2019-11-30,4050500
2019-12-10,3838100
2020-01-14,2958000
2020-01-19,2604800
2020-01-24,2446300
2020-02-03,2106200
2020-02-13,1859200
2020-02-18,1723600
2020-02-23,1619700
2020-02-28,1440500
2020-03-24,1022800
2020-03-29,889500
2020-04-08,660100
2020-05-03,159100
2020-05-08,166600
2020-05-23,119200
2020-05-28,111600
2020-10-25,16910100
2020-10-30,14387400
2020-11-04,17639400
2020-11-09,17677600
2020-12-09,17159600
2020-12-19,17577100
2020-12-24,17467800
2020-12-29,18303700
