date,value
2018-01-04,39651118.02190854
2018-01-14,36306090.73739763
2018-01-24,37591324.21038521
2018-01-29,36909270.77499293
2018-02-03,36710871.76919345
2018-02-08,37620520.70574097
2018-02-13,38262914.69222297
2018-02-18,37629771.619083464
2018-02-23,37576004.31042073
2018-02-28,37454337.56553827
2018-03-05,37398865.530042365
2018-03-10,35486873.6383156
2018-03-20,35424276.73990473
2018-03-25,34942015.88856256
2018-03-30,34972690.564178914
2018-04-09,34993906.61890714
2018-04-14,34777227.92403073
2018-04-24,34527779.41545787
2018-04-29,34020067.6119862
2018-05-09,32256036.121502854
2018-05-14,32677332.04108817
2018-05-19,32066628.395304088
2018-05-29,31626968.375338174
2018-10-21,29580692.879701946
2018-10-26,28287841.416614715
2018-10-31,28378528.858640175
2018-11-10,28893045.798213746
2018-11-15,27848590.22923951
2018-12-15,30214050.665439352
2018-12-25,29450213.29406413
2018-12-30,29255460.16690933
2019-01-04,29096787.930097044
2019-01-09,29174286.33434408
2019-01-14,28905669.697867528
2019-01-19,27163196.95172169
2019-01-24,28631171.91439997
2019-01-29,27947779.57774039
2019-02-03,27458650.886820264
2019-02-18,25985068.85428378
2019-02-23,26924870.67602279
2019-02-28,26560052.080481857
2019-03-05,26206345.254429586
2019-03-10,25705591.704520244
2019-03-15,24936545.13684311
2019-03-20,25164245.442364715
2019-03-30,24148477.000821017
2019-04-19,22390608.779024363
2019-04-24,21148231.93933115
2019-04-29,19370758.823133994
2019-05-04,21022927.47238192
2019-05-09,19945310.68599882
2019-05-19,18256255.79632207
2019-05-24,18687324.927309953
2019-05-29,528508.5690692732
2019-11-05,10477065.306149675
2019-11-10,10123879.087400496
2019-11-25,9015851.344060274
2019-11-30,8792118.974664431
2019-12-10,8273587.476089691
2020-01-14,6166421.042615913
2020-01-19,5342072.360527264
2020-01-24,4976682.4125264
2020-02-03,4203122.614102982
2020-02-13,3651186.0695252526
2020-02-18,3352092.6917682723
2020-02-23,3124947.502388692
2020-02-28,2737631.0207312237
2020-03-24,1860083.5821007234
2020-03-29,1588880.1671394662
2020-04-08,1134753.7476867808
2020-05-03,227781.88382049178
2020-05-08,239936.23292203568
2020-05-23,164438.87422053568
2020-05-28,152656.0569448048
2020-10-25,44108353.20370078
2020-10-30,36756711.875298806
2020-11-04,46261102.60817451
2020-11-09,46374181.34928565
2020-12-09,44843510.350633636
2020-12-19,46076751.172575176
2020-12-24,45753525.49028087
2020-12-29,48231982.849361904
