date,value
2018-01-04,12185000
2018-01-14,10916400
2018-01-24,11541600
2018-01-29,11139700
2018-02-03,11171400
2018-02-08,11521800
2018-02-13,11813000
2018-02-18,11584800
2018-02-23,11593900
2018-02-28,11616100
2018-03-05,11587000
2018-03-10,10859600
2018-03-25,10714200
2018-03-30,10801300
2018-04-09,10612700
2018-04-14,10782200
2018-04-24,10623000
2018-04-29,10431100
2018-05-09,9920700
2018-05-14,10002700
2018-05-19,9525000
2018-05-29,9403600
2018-09-11,8845900
2018-10-26,8068300
2018-10-31,8287600
2018-11-10,8590300
2018-11-15,8275900
2018-11-25,8992000
2018-11-30,8514100
2018-12-25,8989300
2018-12-30,8914000
2019-01-04,8846000
2019-01-09,8888100
2019-01-14,8733100
2019-01-19,7996600
2019-01-24,8580100
2019-01-29,8330200
2019-02-03,8109900
2019-02-23,7829700
2019-02-28,7675500
2019-03-05,7425700
2019-03-15,7002600
2019-03-20,7148000
2019-03-30,6927300
2019-04-19,6226800
2019-04-24,5811000
2019-05-04,5779100
2019-05-09,5591100
2019-05-19,5060200
2019-05-29,68200
2019-06-18,5349100
2019-07-18,5207600
2019-11-10,4801300
2019-11-25,4644700
2019-11-30,4638700
2019-12-10,4560100
2020-01-14,4164500
2020-01-19,3981800
2020-01-24,3913400
2020-02-03,3802100
2020-02-13,3715200
2020-02-18,3674200
2020-02-23,3601000
2020-02-28,3431900
2020-03-24,3133000
2020-03-29,3010300
2020-04-08,2734300
2020-04-18,2505000
2020-05-03,2249900
2020-05-08,2140900
2020-05-23,1850000
2020-05-28,1710400
2020-10-25,14086800
2020-10-30,13550800
2020-11-04,14214500
2020-11-09,14325100
2020-11-14,14166500
2020-12-09,13689100
2020-12-24,13984800
2020-12-29,14844100
