date,value
2018-01-05,10073100
2018-01-12,10073100
2018-01-17,10029000
2018-01-24,10029000
2018-01-29,10113600
2018-02-05,10113600
2018-02-10,10046700
2018-02-17,10046700
2018-02-22,9915200
2018-03-01,9915200
2018-03-06,9898100
2018-03-13,9898100
2018-03-18,9909500
2018-03-25,9909500
2018-03-30,9692700
2018-04-06,9692700
2018-04-11,9726200
2018-04-18,9726200
2018-04-23,9723800
2018-04-30,9723800
2018-05-05,9653800
2018-05-12,9653800
2018-05-17,9403400
2018-05-24,9403400
2018-05-29,8953900
2018-06-05,8953900
2018-06-10,9303000
2018-06-17,9303000
2018-06-22,9317100
2018-06-29,9317100
2018-07-04,9163900
2018-07-11,9163900
2018-07-16,9667200
2018-07-23,9667200
2018-07-28,9403000
2018-08-04,9403000
2018-08-09,9410200
2018-08-16,9410200
2018-08-21,9520400
2018-08-28,9520400
2018-09-02,9486500
2018-09-09,9486500
2018-09-14,9430600
2018-09-21,9430600
2018-09-26,9337600
2018-10-03,9337600
2018-10-08,9075300
2018-10-20,9131400
2018-10-27,9131400
2018-11-01,8855100
2018-11-08,8855100
2018-12-07,8486000
2018-12-14,8486000
2019-01-12,8095300
2019-01-19,8095300
2019-01-24,7986200
2019-01-31,7986200
2019-02-05,7941500
2019-02-11,8056300
2019-02-12,8056300
2019-02-23,7705600
2019-02-24,7705600
2019-03-07,7520000
2019-03-08,7520000
2019-03-19,7332800
2019-03-20,7332800
2019-03-31,7007600
2019-04-01,7007600
2019-04-12,6943200
2019-04-13,6943200
2019-04-24,6461400
2019-04-25,6461400
2019-05-06,6320800
2019-05-07,6320800
2019-05-18,5972200
2019-05-19,5972200
2019-05-30,5628200
2019-05-31,5628200
2019-06-11,5807200
2019-06-12,5807200
2019-06-17,5807200
2019-06-23,5575500
2019-06-24,5575500
2019-06-29,5575500
2019-07-05,5733700
2019-07-11,5733700
2019-07-17,5703400
2019-07-23,5703400
2019-07-29,5515900
2019-07-30,5515900
2019-08-04,5515900
2019-08-10,5409600
2019-08-11,5409600
2019-08-22,5388500
2019-08-23,5388500
2019-09-03,5373700
2019-09-04,5373700
2019-09-15,5098800
2019-09-16,5098800
2019-09-27,5424000
2019-09-28,5424000
2019-10-04,5424000
2019-10-09,5156400
2019-10-10,5156400
2019-10-16,5156400
2019-10-21,5119300
2019-10-22,5119300
2019-10-27,5148600
2019-10-28,5148600
2019-11-02,5094000
2019-11-03,5094000
2019-11-08,5006900
2019-11-09,5006900
2019-11-14,4927300
2019-11-15,4927300
2019-11-20,4813200
2019-11-21,4813200
2019-11-26,4757300
2019-11-27,4757300
2019-12-02,4675200
2019-12-03,4675200
2019-12-08,4604100
2019-12-09,4604100
2019-12-14,4549600
2019-12-15,4549600
2019-12-20,4471900
2019-12-21,4471900
2019-12-26,4349400
2019-12-27,4349400
2020-01-01,4198700
2020-01-02,4198700
2020-01-07,4238800
2020-01-13,4165500
2020-01-14,4165500
2020-01-19,4075400
2020-01-26,3916900
2020-01-31,3841800
2020-02-07,3841800
2020-02-12,3831500
2020-02-19,3831500
2020-02-24,3626800
2020-03-02,3626800
2020-03-07,3462600
2020-03-14,3462600
2020-03-19,3369600
2020-03-26,3369600
2020-03-31,2961300
2020-04-07,2961300
2020-04-12,2842300
2020-04-19,2842300
2020-04-24,2531900
2020-05-01,2531900
2020-05-18,2184400
2020-05-25,2184400
2020-05-30,2012600
2020-06-06,2012600
2020-06-11,1561700
2020-06-18,1561700
2020-06-23,1405400
2020-06-30,1405400
2020-07-05,1317700
2020-07-12,1317700
2020-07-17,2312600
2020-07-24,2312600
2020-07-29,2356600
2020-08-05,2356600
2020-08-10,2315400
2020-08-17,2315400
2020-08-22,5055600
2020-08-29,5055600
2020-09-03,5797200
2020-09-10,5797200
2020-09-15,6155800
2020-09-22,6155800
2020-09-27,11284400
2020-10-04,11284400
2020-10-09,11758100
2020-10-16,11758100
2020-10-21,12553400
2020-10-28,12553400
2020-11-02,12763100
2020-11-09,12763100
2020-11-14,12806000
2020-11-21,12806000
2020-11-26,12679800
2020-11-28,13208900
2020-12-03,13208900
2020-12-08,13184600
2020-12-15,12601200
2020-12-20,12576200
