date,value
2018-01-04,32107801.24901497
2018-01-07,32107801.24901497
2018-01-09,32336785.481392276
2018-01-14,31619627.065707188
2018-01-17,28382041.04186016
2018-01-19,28382041.04186016
2018-01-22,26448932.73376047
2018-01-24,29183359.069437113
2018-01-27,29178454.606477268
2018-01-29,29218146.407524467
2018-02-03,27855096.679976966
2018-02-06,27965308.32970068
2018-02-08,27892250.184408884
2018-02-11,29137003.866150882
2018-02-13,29015473.28799693
2018-02-16,30529687.296483163
2018-02-18,29527109.73130474
2018-02-21,30547421.603151504
2018-02-23,29657643.95948839
2018-02-26,29815424.048935175
2018-02-28,29429484.57704109
2018-03-03,30042162.164452232
2018-03-05,29446939.345873676
2018-03-08,30024104.084483005
2018-03-10,28880845.287239637
2018-03-13,29383854.829759303
2018-03-15,29383854.829759303
2018-03-18,26206718.399263505
2018-03-20,26562267.59494815
2018-03-25,26187570.13913147
2018-03-28,26187570.13913147
2018-03-30,25833786.599317282
2018-04-02,26282945.906914517
2018-04-07,25959111.540700503
2018-04-09,26240774.71178316
2018-04-12,25165087.92220155
2018-04-14,26267181.524016462
2018-04-17,26267181.524016462
2018-04-19,25799960.07733978
2018-04-22,25890065.656573623
2018-04-24,25836324.362008676
2018-04-27,25232034.61341947
2018-04-29,25023499.125257414
2018-05-02,25514892.52625106
2018-05-04,25514892.52625106
2018-05-07,24410647.754631486
2018-05-09,24564795.45208735
2018-05-12,22343722.9742225
2018-05-14,23387947.605907127
2018-05-17,23387947.605907127
2018-05-19,22021817.238462184
2018-05-22,22884720.769285545
2018-05-24,22809725.89954471
2018-05-29,21108549.640419092
2018-06-03,20472174.19410333
2018-06-06,20330887.164603446
2018-09-11,18262302.496999368
2018-09-14,18253567.9809139
2018-10-21,18764261.586268563
2018-10-26,18800367.46780901
2018-10-29,18800367.46780901
2018-10-31,16454365.910495419
2018-11-03,16523315.089929352
2018-11-05,15912759.62982135
2018-11-08,16406384.258462178
2018-11-10,16855866.436247908
2018-11-15,16857624.292819202
2018-11-18,17669970.831833757
2018-11-23,16229933.290433982
2018-11-25,18842774.931213006
2018-11-28,18787837.533191174
2018-11-30,18904431.586331457
2018-12-03,18904431.586331457
2018-12-08,17062780.794052664
2018-12-25,19287007.593366493
2018-12-28,18791153.928606708
2018-12-30,19157874.89555006
2019-01-04,18253204.08200517
2019-01-07,18253204.08200517
2019-01-09,18707216.707548056
2019-01-12,18707216.707548056
2019-01-14,18200471.99191704
2019-01-19,17549228.77755782
2019-01-22,17845448.87949012
2019-01-24,17232789.957494445
2019-01-29,16311989.414162613
2019-02-01,17427418.60008022
2019-02-03,16393182.573271034
2019-02-06,16520526.844790746
2019-02-08,16359504.400073312
2019-02-11,15687819.417185662
2019-02-13,15687819.417185662
2019-02-23,14719313.55570512
2019-02-26,14719313.55570512
2019-02-28,14416664.42580397
2019-03-03,14796979.21090234
2019-03-05,14198238.138999246
2019-03-08,14272740.166729392
2019-03-10,13504656.955529563
2019-03-13,13532776.0849593
2019-03-15,12868987.590160428
2019-03-18,12910618.238170514
2019-03-20,12430609.593947025
2019-03-23,12714869.45068113
2019-03-28,12534329.516837407
2019-03-30,12865859.819496647
2019-04-02,11859889.698664706
2019-04-04,11859889.698664706
2019-04-07,11859889.698664706
2019-04-19,9827207.142793348
2019-04-22,9827207.142793348
2019-04-24,9871782.786140082
2019-04-29,9456500.035926694
2019-05-02,8699593.87115798
2019-05-04,8854105.908129284
2019-05-07,8615548.469622936
2019-05-09,8507001.000262478
2019-05-12,8714912.794561038
2019-05-14,8378258.640025943
2019-05-17,8127429.537900659
2019-05-19,7412570.392834152
2019-05-22,6958133.361490786
2019-05-24,7405181.854903082
2019-05-27,8002235.91251201
2019-05-29,6814493.281281177
2019-06-06,3427.939837127151
2019-06-18,7517336.003541002
2019-07-18,7170192.682345033
2019-07-23,7176021.326702167
2019-11-10,6401088.532364243
2019-11-13,6401088.532364243
2019-11-18,6213196.597152605
2019-11-25,5860274.60495021
2019-11-28,5860274.60495021
2019-11-30,5972658.821964764
2019-12-10,5928086.185113154
2019-12-13,5673343.117895628
2019-12-15,5673343.117895628
2019-12-18,5673343.117895628
2019-12-20,5673343.117895628
2020-01-14,4834316.395791349
2020-01-17,4834316.395791349
2020-01-19,4846196.431109544
2020-01-22,4846196.431109544
2020-01-24,4474892.49162598
2020-01-27,4485589.203859731
2020-01-29,4332156.391970153
2020-02-01,4343876.778692769
2020-02-03,4239854.391343322
2020-02-06,4251853.3763994025
2020-02-13,4122392.624723301
2020-02-16,3952731.3566246084
2020-02-18,3976591.4302603942
2020-02-21,3976591.4302603942
2020-02-23,3861441.9108101274
2020-02-26,3882827.719592091
2020-02-28,3746660.18290653
2020-03-02,3753629.537118659
2020-03-07,3436745.962081075
2020-03-24,2926718.253545513
2020-03-27,2926718.253545513
2020-03-29,2934795.2267092154
2020-04-01,2936609.7492574737
2020-04-03,2936609.7492574737
2020-04-06,2727456.7129035615
2020-04-08,2737051.080069781
2020-04-11,2302002.6719565094
2020-04-13,2302002.6719565094
2020-04-16,2302002.6719565094
2020-04-18,2301854.2014119225
2020-04-21,1972528.613877895
2020-04-23,1972528.613877895
2020-04-26,1972528.613877895
2020-04-28,1972528.613877895
2020-05-03,1632163.1994453468
2020-05-06,1632163.1994453468
2020-05-08,1634466.7205422986
2020-05-13,1649730.9265702788
2020-05-23,1160637.6302170956
2020-05-26,1155785.4273104519
2020-05-28,1157438.5985986923
2020-05-31,1157438.5985986923
2020-06-05,1006435.8276428249
