date,value
2018-01-05,22952588.54837834
2018-01-12,22952588.54837834
2018-01-17,22775672.560591213
2018-01-24,22775672.560591213
2018-01-29,23115584.25175133
2018-02-05,23115584.25175133
2018-02-10,22846608.452123757
2018-02-17,22846608.452123757
2018-02-22,22321882.066620544
2018-03-01,22321882.066620544
2018-03-06,22254035.782572683
2018-03-13,22254035.782572683
2018-03-18,22299256.70337238
2018-03-25,22299256.70337238
2018-03-30,21446086.59523172
2018-04-06,21446086.59523172
2018-04-11,21576976.84849798
2018-04-18,21576976.84849798
2018-04-23,21567588.17079697
2018-04-30,21567588.17079697
2018-05-05,21294530.484697904
2018-05-12,21294530.484697904
2018-05-17,20330124.60225795
2018-05-24,20330124.60225795
2018-05-29,18647675.995031796
2018-06-05,18647675.995031796
2018-06-10,19948883.10695055
2018-06-17,19948883.10695055
2018-06-22,20002235.33673637
2018-06-29,20002235.33673637
2018-07-04,19425860.757019203
2018-07-11,19425860.757019203
2018-07-16,21346684.92995464
2018-07-23,21346684.92995464
2018-07-28,20328599.514718246
2018-08-04,20328599.514718246
2018-08-09,20356058.668876957
2018-08-16,20356058.668876957
2018-08-21,20778336.895178404
2018-08-28,20778336.895178404
2018-09-02,20648034.90776378
2018-09-09,20648034.90776378
2018-09-14,20433946.737917796
2018-09-21,20433946.737917796
2018-09-26,20079914.212500423
2018-10-03,20079914.212500423
2018-10-08,19095861.374742407
2018-10-20,19304527.065237742
2018-10-27,19304527.065237742
2018-11-01,18286331.744010992
2018-11-08,18286331.744010992
2018-12-07,16963593.421132106
2018-12-14,16963593.421132106
2019-01-12,15610540.305387996
2019-01-19,15610540.305387996
2019-01-24,15241432.036698565
2019-01-31,15241432.036698565
2019-02-05,15091307.943605848
2019-02-11,15478156.003273923
2019-02-12,15478156.003273923
2019-02-23,14309726.969846608
2019-02-24,14309726.969846608
2019-03-07,13707486.671124758
2019-03-08,13707486.671124758
2019-03-19,13111444.269973489
2019-03-20,13111444.269973489
2019-03-31,12103409.82816595
2019-04-01,12103409.82816595
2019-04-12,11907938.306258777
2019-04-13,11907938.306258777
2019-04-24,10489521.324442903
2019-04-25,10489521.324442903
2019-05-06,10090338.478241922
2019-05-07,10090338.478241922
2019-05-18,9129689.687371382
2019-05-19,9129689.687371382
2019-05-30,8222778.24066844
2019-05-31,8222778.24066844
2019-06-11,8689563.662632998
2019-06-12,8689563.662632998
2019-06-17,8689563.662632998
2019-06-23,8087480.686637636
2019-06-24,8087480.686637636
2019-06-29,8087480.686637636
2019-07-05,8496544.900140988
2019-07-11,8496544.900140988
2019-07-17,8417520.849870078
2019-07-23,8417520.849870078
2019-07-29,7935641.135736213
2019-07-30,7935641.135736213
2019-08-04,7935641.135736213
2019-08-10,7667925.575702429
2019-08-11,7667925.575702429
2019-08-22,7615259.0695797885
2019-08-23,7615259.0695797885
2019-09-03,7578411.445680601
2019-09-04,7578411.445680601
2019-09-15,6908117.97475517
2019-09-16,6908117.97475517
2019-09-27,7703958.78706293
2019-09-28,7703958.78706293
2019-10-04,7703958.78706293
2019-10-09,7046337.150984102
2019-10-10,7046337.150984102
2019-10-16,7046337.150984102
2019-10-21,6957174.663148393
2019-10-22,6957174.663148393
2019-10-27,7027550.592939098
2019-10-28,7027550.592939098
2019-11-02,6896653.251252165
2019-11-03,6896653.251252165
2019-11-08,6690050.462285413
2019-11-09,6690050.462285413
2019-11-14,6503621.685845285
2019-11-15,6503621.685845285
2019-11-20,6240379.797331309
2019-11-21,6240379.797331309
2019-11-26,6113133.848956643
2019-11-27,6113133.848956643
2019-12-02,5928309.806766986
2019-12-03,5928309.806766986
2019-12-08,5770237.751213225
2019-12-09,5770237.751213225
2019-12-14,5650325.590033617
2019-12-15,5650325.590033617
2019-12-20,5481256.887692352
2019-12-21,5481256.887692352
2019-12-26,5219236.491280668
2019-12-27,5219236.491280668
2020-01-01,4904549.783608837
2020-01-02,4904549.783608837
2020-01-07,4987457.47419956
2020-01-13,4836363.777029793
2020-01-14,4836363.777029793
2020-01-19,4653403.875721044
2020-01-26,4338991.618081699
2020-01-31,4193352.7027637465
2020-02-07,4193352.7027637465
2020-02-12,4173546.2944855704
2020-02-19,4173546.2944855704
2020-02-24,3788376.172240284
2020-03-02,3788376.172240284
2020-03-07,3491148.2916872697
2020-03-14,3491148.2916872697
2020-03-19,3327485.5377434376
2020-03-26,3327485.5377434376
2020-03-31,2649649.453297833
2020-04-07,2649649.453297833
2020-04-12,2464763.6418049615
2020-04-19,2464763.6418049615
2020-04-24,2010037.1312056598
2020-05-01,2010037.1312056598
2020-05-18,1549299.7222641502
2020-05-25,1549299.7222641502
2020-05-30,1340904.464291348
2020-06-06,1340904.464291348
2020-06-11,857286.3304803404
2020-06-18,857286.3304803404
2020-06-23,711802.7035526258
2020-06-30,711802.7035526258
2020-07-05,635345.0114007422
2020-07-12,635345.0114007422
2020-07-17,1713229.5826684867
2020-07-24,1713229.5826684867
2020-07-29,1771131.4984081371
2020-08-05,1771131.4984081371
2020-08-10,1716889.4088507653
2020-08-17,1716889.4088507653
2020-08-22,6805232.461180118
2020-08-29,6805232.461180118
2020-09-03,8663192.319666266
2020-09-10,8663192.319666266
2020-09-15,9630457.53237284
2020-09-22,9630457.53237284
2020-09-27,28041516.795213223
2020-10-04,28041516.795213223
2020-10-09,30150609.3481629
2020-10-16,30150609.3481629
2020-10-21,33839465.86706688
2020-10-28,33839465.86706688
2020-11-02,34842705.14579862
2020-11-09,34842705.14579862
2020-11-14,35049507.98056893
2020-11-21,35049507.98056893
2020-11-26,34442665.196814924
2020-11-28,37017507.951574355
2020-12-03,37017507.951574355
2020-12-08,36897494.9404867
2020-12-15,34067031.887488574
2020-12-20,33947929.63119753
