date,value
2018-01-07,185650800
2018-01-17,166580000
2018-01-22,167370600
2018-02-26,127856800
2018-03-03,119350100
2018-03-08,115105900
2018-03-13,111760900
2018-03-18,101261100
2018-03-23,95376400
2018-03-28,78844700
2018-10-09,213169600
2018-10-19,192421800
2018-11-28,161039400
2018-12-03,160413900
2018-12-28,156228900
2019-01-02,151035800
2019-01-17,148277300
2019-01-22,145985800
2019-02-16,125190200
2019-02-26,116696000
2019-03-03,109002300
2019-03-08,103655800
2019-03-18,94228800
2019-03-23,76187100
2019-03-28,64535600
2019-11-13,245008400
2019-11-18,245423200
2019-11-23,245229800
2019-12-18,245327900
2019-12-28,244784600
2020-01-12,238523500
2020-01-27,232657800
2020-02-16,226790500
2020-02-26,221093800
2020-03-02,218412300
2020-03-22,196144400
2020-10-28,243656700
2020-11-02,244096600
2020-11-07,244327600
2020-12-07,243155700
2020-12-12,243363600
2020-12-17,243716600
2020-12-27,241996900
