date,value
2018-02-03,25123200
2018-02-18,25416300
2018-02-23,25289100
2018-02-28,25021400
2018-03-05,20248500
2018-03-10,19680200
2018-04-19,3897700
2018-04-29,1975400
2018-05-19,5838300
2018-11-15,28946200
2018-11-25,26212900
2019-01-09,25509000
2019-01-29,22147800
2019-02-23,20609200
2019-03-15,12970000
2019-03-30,11553200
2019-04-04,11975100
2019-04-19,7217000
2019-04-24,4024300
2019-04-29,4334400
2019-05-24,16408900
2019-11-10,124894800
2020-02-18,81439300
2020-03-19,63138600
2020-03-24,56159300
2020-03-29,52848600
2020-04-13,26707400
2020-11-09,124389000
2020-11-14,124722600
2020-12-04,125245100
2020-12-09,124535000
