date,value
2018-01-04,10787500
2018-01-09,10826200
2018-01-24,10599900
2018-02-03,10702600
2018-02-08,10701700
2018-02-18,10691200
2018-02-23,10518600
2018-02-28,10647600
2018-03-05,10519400
2018-03-10,10117300
2018-03-25,10605600
2018-03-30,10468600
2018-04-19,6847400
2018-04-29,5879600
2018-05-19,6618300
2018-05-29,1558700
2018-06-13,6406100
2018-09-11,10531500
2018-10-01,10657900
2018-11-10,9722400
2018-11-15,10615000
2018-11-25,10702500
2018-12-25,10767500
2018-12-30,10635800
2019-01-09,10493600
2019-01-24,10805600
2019-01-29,10481800
2019-02-23,9813100
2019-03-05,9095700
2019-03-10,8443700
2019-03-15,8259300
2019-03-30,9659300
2019-04-04,9680500
2019-04-09,9515000
2019-04-19,10369400
2019-04-24,8753300
2019-04-29,5442800
2019-05-09,2969600
2019-05-14,6816500
2019-05-24,6352900
2019-06-13,7316900
2019-06-18,6912000
2019-07-13,4903600
2019-08-27,6049800
2019-10-26,10797900
2019-11-10,10782200
2020-01-09,10633300
2020-01-14,10760500
2020-01-24,10664000
2020-02-13,10590000
2020-02-18,10565800
2020-03-19,8851000
2020-03-24,10485800
2020-03-29,9065600
2020-04-08,9443400
2020-04-13,7193100
2020-04-18,8716500
2020-05-13,5221300
2020-05-23,6632300
2020-05-28,406500
2020-06-02,5372900
2020-11-09,10533600
2020-11-14,10473800
2020-12-04,10521000
2020-12-09,10469700
