date,value
2018-01-12,197495900
2018-01-17,194489800
2018-01-24,194348400
2018-01-29,194075100
2018-02-05,193305600
2018-02-10,191953500
2018-02-17,191797100
2018-02-22,188900800
2018-03-01,187754000
2018-03-06,187459400
2018-03-13,185971500
2018-03-18,188518700
2018-03-25,188619400
2018-03-30,185779800
2018-04-06,184300500
2018-04-11,183368000
2018-04-18,182815400
2018-04-23,182037400
2018-04-30,181798600
2018-05-05,182193300
2018-05-12,182219900
2018-05-17,180521000
2018-05-24,180265300
2018-05-29,179555800
2018-06-05,179104300
2018-06-10,184514300
2018-06-17,184106600
2018-06-29,181116400
2018-07-04,180859100
2018-07-11,181556500
2018-07-16,179564400
2018-07-23,178747100
2018-07-28,180133800
2018-08-04,182152000
2018-08-09,185238700
2018-08-16,189957200
2018-08-21,206295500
2018-08-28,223773400
2018-09-02,232053400
2018-09-09,233495100
2018-09-14,233744100
2018-09-21,233521900
2018-09-26,232163100
2018-10-03,231404000
2018-10-08,230141100
2018-10-27,228672400
2018-11-01,224727800
2018-11-08,221807900
2018-12-07,207738400
2018-12-14,207127000
2018-12-21,203515200
2018-12-26,203117700
2019-01-12,200696200
2019-01-19,199760100
2019-01-24,198625100
2019-01-31,197705700
2019-02-05,195419500
2019-02-12,192599500
2019-02-24,191340200
2019-03-08,189535100
2019-03-20,188182600
2019-04-01,182848900
2019-04-13,181626400
2019-04-25,178004100
2019-05-07,175466200
2019-05-19,177063000
2019-05-31,176384200
2019-06-12,167838300
2019-06-17,167838300
2019-06-24,179150400
2019-06-29,179150400
2019-07-30,178646900
2019-08-04,178646900
2019-08-11,190404900
2019-08-23,233684700
2019-09-04,233110200
2019-09-16,234726300
2019-09-28,234448500
2019-10-04,233784300
2019-10-09,234835100
2019-10-10,233984200
2019-10-16,233958300
2019-10-21,234584300
2019-10-22,234021900
2019-10-27,234315600
2019-10-28,234562000
2019-11-02,234342900
2019-11-03,234675200
2019-11-08,234359100
2019-11-09,234677900
2019-11-14,234136900
2019-11-15,234488800
2019-11-20,233963000
2019-11-21,234369700
2019-11-26,233817800
2019-11-27,234192700
2019-12-02,232866200
2019-12-03,233184700
2019-12-08,231256500
2019-12-09,231694700
2019-12-14,230299600
2019-12-15,230621300
2019-12-20,228419600
2019-12-21,228716900
2019-12-26,226039900
2019-12-27,226341500
2020-01-02,222718300
2020-01-07,220112700
2020-01-14,216287800
2020-01-19,214960200
2020-01-26,214368400
2020-01-31,210619500
2020-02-07,210675200
2020-02-12,209117300
2020-02-19,207056000
2020-02-24,205338000
2020-03-02,208208300
2020-03-07,211555900
2020-03-14,211811000
2020-03-19,208995200
2020-03-26,207092500
2020-03-31,203756600
2020-04-07,202671100
2020-04-12,202271800
2020-04-19,201719100
2020-04-24,200821900
2020-05-01,200765500
2020-05-18,199457900
2020-05-25,198619900
2020-06-11,198218000
2020-06-18,198775600
2020-06-30,194421100
2020-07-05,193537000
2020-07-12,193531000
2020-07-17,191007600
2020-07-24,194123400
2020-07-29,201682900
2020-08-05,207858300
2020-08-10,213489800
2020-08-17,219470700
2020-08-22,232780200
2020-08-29,234278400
2020-09-03,234367700
2020-09-10,234043500
2020-09-15,234532000
2020-09-22,234848600
2020-09-27,235022800
2020-10-04,234880700
2020-10-09,234667100
2020-10-16,234664800
2020-10-21,235008400
2020-10-28,235011100
2020-11-02,234822700
2020-11-09,234853000
2020-11-14,234861600
2020-11-21,234933400
2020-11-26,234933900
2020-11-28,234387800
2020-12-03,234266900
2020-12-08,234095000
2020-12-15,234159100
2020-12-20,232763100
