date,value
2018-01-14,7053550550.723109
2018-01-24,6795515256.830306
2018-02-03,6552979924.888861
2018-02-18,6395153814.527847
2018-02-23,6174753603.974438
2018-02-28,6353708482.534833
2018-03-05,6223371169.187478
2018-03-10,6203681098.647934
2018-04-09,5798639119.203905
2018-04-14,5769742794.123234
2018-04-29,5331391446.862251
2018-05-19,5091942926.861106
2018-11-25,8220987343.789404
2019-01-09,7356198581.233368
2019-01-14,7127632685.954267
2019-01-19,7455658106.945181
2019-02-23,6472169895.392377
2019-03-05,6581628223.898676
2019-03-10,6348959161.825571
2019-03-15,6168427227.589766
2019-03-30,5971302780.108902
2019-04-09,5873220691.768416
2019-04-19,5758829001.621961
2019-04-24,5094936512.526381
2019-04-29,4751762394.557391
2019-05-19,4369451710.132186
2019-06-18,5365447483.3363905
2019-11-10,10228500071.648539
2020-02-18,7472561714.21669
2020-03-19,7956426310.446345
2020-03-24,7772159431.488327
2020-03-29,7637057557.963159
2020-05-13,6523416312.220336
2020-05-23,5817561782.864074
2020-11-09,10160921512.499449
