date,value
2018-01-12,7279707604.350819
2018-01-17,7066427997.645376
2018-01-24,7056471445.237284
2018-01-29,7037246540.417245
2018-02-05,6983253565.314197
2018-02-10,6888869515.834731
2018-02-17,6877992062.089947
2018-02-22,6678062078.659795
2018-03-01,6599688501.956314
2018-03-06,6579627541.882067
2018-03-13,6478760010.711242
2018-03-18,6651899179.625612
2018-03-25,6658789417.907003
2018-03-30,6465819180.709359
2018-04-06,6366379511.821962
2018-04-11,6304079678.103634
2018-04-18,6267300758.09943
2018-04-23,6215696722.6174755
2018-04-30,6199898773.115407
2018-05-05,6226020877.654886
2018-05-12,6227783236.1228895
2018-05-17,6115709133.955759
2018-05-24,6098926285.120155
2018-05-29,6052475262.717254
2018-06-05,6023005057.800926
2018-06-10,6380705176.5231
2018-06-17,6353400727.972588
2018-06-29,6154874692.180419
2018-07-04,6137934581.800418
2018-07-11,6183902382.284352
2018-07-16,6053037275.874867
2018-07-23,5999739330.675673
2018-07-28,6090303988.32307
2018-08-04,6223285062.825177
2018-08-09,6429359474.2923975
2018-08-16,6750653951.332903
2018-08-21,7921661208.876297
2018-08-28,9274440206.043066
2018-09-02,9951280252.3097
2018-09-09,10071488691.31782
2018-09-14,10092320992.046602
2018-09-21,10073729881.809872
2018-09-26,9960402433.195005
2018-10-03,9897361831.43383
2018-10-08,9792911874.191471
2018-10-27,9672115881.562471
2018-11-01,9351279392.516745
2018-11-08,9117164145.576086
2018-12-07,8029429388.848765
2018-12-14,7983678696.486842
2018-12-21,7715993415.66143
2018-12-26,7686803119.534732
2019-01-12,7510138440.731358
2019-01-19,7442376806.525343
2019-01-24,7360616286.450497
2019-01-31,7294707301.502276
2019-02-05,7132061229.1318245
2019-02-12,6933886304.2305565
2019-02-24,6846262826.046841
2019-03-08,6721603228.753977
2019-03-20,6628927071.318774
2019-04-01,6269527421.65031
2019-04-13,6188518864.336905
2019-04-25,5951484731.530246
2019-05-07,5788082581.502533
2019-05-19,5890635278.659989
2019-05-31,5846933546.433639
2019-06-12,5310234118.172527
2019-06-17,5310234118.172527
2019-06-24,6026010893.831686
2019-06-29,6026010893.831686
2019-07-30,5993220773.090578
2019-08-04,5993220773.090578
2019-08-11,6781532862.198541
2019-08-23,10087349465.926563
2019-09-04,10039327483.321747
2019-09-16,10174698869.291122
2019-09-28,10151366683.2689
2019-10-04,10095686233.18246
2019-10-09,10183843956.674238
2019-10-10,10112428421.801044
2019-10-16,10110258466.369045
2019-10-21,10162769169.567772
2019-10-22,10115587408.543764
2019-10-27,10140213697.140379
2019-10-28,10160896318.299957
2019-11-02,10142504232.408157
2019-11-03,10170405077.11842
2019-11-08,10143863569.561348
2019-11-09,10170631928.71907
2019-11-14,10125226526.218533
2019-11-15,10154749837.70479
2019-11-20,10110652225.31935
2019-11-21,10144753060.128605
2019-11-26,10098491015.756388
2019-11-27,10129905195.441654
2019-12-02,10018965295.187298
2019-12-03,10045548615.641409
2019-12-08,9885134960.005508
2019-12-09,9921480552.834919
2019-12-14,9805991399.057158
2019-12-15,9832564283.208746
2019-12-20,9651397105.56369
2019-12-21,9675765202.850817
2019-12-26,9457418192.090576
2019-12-27,9481897288.475914
2020-01-02,9189850926.342768
2020-01-07,8982563376.084486
2020-01-14,8682424535.924423
2020-01-19,8579403046.524638
2020-01-26,8533671371.851679
2020-01-31,8246723453.539118
2020-02-07,8250952053.820566
2020-02-12,8133076220.560012
2020-02-19,7978374012.797087
2020-02-24,7850536124.124611
2020-03-02,8064677741.492945
2020-03-07,8317952008.382431
2020-03-14,8337407944.004489
2020-03-19,8123872441.235635
2020-03-26,7981100855.273102
2020-03-31,7733746697.527912
2020-04-07,7654071087.140617
2020-04-12,7624863016.144787
2020-04-19,7584523237.724031
2020-04-24,7519260153.611954
2020-05-01,7515166693.349521
2020-05-18,7420564902.619289
2020-05-25,7360242707.204424
2020-06-11,7331397118.206693
2020-06-18,7371432509.837304
2020-06-30,7061589700.644784
2020-07-05,6999468878.448639
2020-07-12,6999048199.579417
2020-07-17,6823210231.866046
2020-07-24,7040642288.682692
2020-07-29,7581884732.617731
2020-08-05,8038416278.222045
2020-08-10,8465995361.63878
2020-08-17,8931840958.021544
2020-08-22,10011793229.343857
2020-08-29,10137092931.419363
2020-09-03,10144585228.829296
2020-09-10,10117397547.249056
2020-09-15,10158377051.097267
2020-09-22,10184978964.606596
2020-09-27,10199630264.555138
2020-10-04,10187678007.193384
2020-10-09,10169724537.01595
2020-10-16,10169531301.253107
2020-10-21,10198418748.64865
2020-10-28,10198645902.57344
2020-11-02,10182801484.832737
2020-11-09,10185348906.35153
2020-11-14,10186071993.092684
2020-11-21,10192109896.53442
2020-11-26,10192151949.289768
2020-11-28,10146271994.524021
2020-12-03,10136128272.691624
2020-12-08,10121714019.903923
2020-12-15,10127087806.897984
2020-12-20,10010367452.175022
