date,value
2018-01-01,19010100
2018-01-04,19330000
2018-01-09,19070200
2018-01-11,18771800
2018-01-24,19064600
2018-01-31,19024500
2018-02-03,19433900
2018-02-18,18820700
2018-02-20,18392800
2018-02-23,18201300
2018-02-25,18275800
2018-02-28,18450600
2018-03-02,17881600
2018-03-05,18944200
2018-03-07,17924600
2018-03-10,18917500
2018-03-22,17972000
2018-03-27,17233700
2018-04-01,17485900
2018-04-06,17335500
2018-04-11,17280300
2018-04-16,15798600
2018-04-26,16243000
2018-05-16,15081400
2018-06-15,11040500
2018-09-11,18334200
2018-10-06,21552900
2018-10-26,17703800
2018-10-28,20527300
2018-10-31,18170200
2018-11-15,20924800
2018-11-25,19258200
2018-11-27,20674800
2018-12-02,20478500
2018-12-20,19814900
2018-12-30,19588700
2019-01-01,19495400
2019-01-04,19252600
2019-01-06,19146500
2019-01-09,19497600
2019-01-14,19575500
2019-01-31,19377000
2019-02-03,19020800
2019-02-05,18776100
2019-02-10,18865200
2019-02-15,18295500
2019-02-23,17994600
2019-02-25,17912500
2019-03-07,17906500
2019-03-15,16288100
2019-03-17,16632400
2019-04-01,15752200
2019-04-04,363000
2019-04-11,15271900
2019-04-16,14854300
2019-05-06,14573100
2019-05-26,13354600
2019-06-05,13154500
2019-06-15,12885200
2019-11-05,21358500
2019-11-12,20794800
2019-11-15,20919200
2019-12-07,20432900
2019-12-10,20278600
2019-12-12,20086700
2019-12-30,20655400
2020-01-01,20011300
2020-01-06,19469500
2020-01-11,20113300
2020-01-16,19996200
2020-01-26,19529500
2020-02-10,19455100
2020-02-13,19977800
2020-02-15,19252500
2020-02-18,18673300
2020-02-23,16915300
2020-03-16,18026300
2020-03-24,3386500
2020-03-26,17393000
2020-03-29,2492500
2020-03-31,17856900
2020-04-05,17523800
2020-04-10,17388000
2020-04-15,17158400
2020-04-20,17203700
2020-04-30,17247800
2020-05-05,16633900
2020-10-27,21092400
2020-10-30,21335400
2020-11-01,21033400
2020-11-09,20906700
2020-11-14,20625500
2020-11-29,20956300
2020-12-06,20622900
2020-12-09,20799300
2020-12-11,20469100
2020-12-21,18993500
2020-12-24,20751400
2020-12-26,20875300
2020-12-29,21106800
