date,value
2018-01-01,2522413.6926593976
2018-01-04,2640162.4358969126
2018-01-09,2544275.704099926
2018-01-11,2436903.3018194083
2018-01-24,2542233.5879711644
2018-01-31,2527640.9471094916
2018-02-03,2679141.3921669037
2018-02-18,2454297.950302492
2018-02-20,2304732.792226979
2018-02-23,2239718.68977349
2018-02-25,2264871.2024593903
2018-02-28,2324588.1253705896
2018-03-02,2133795.2194676124
2018-03-05,2498579.2351224553
2018-03-07,2147852.9075744716
2018-03-10,2488963.3036977346
2018-03-22,2163416.9590982436
2018-03-27,1929003.66463589
2018-04-01,2007164.3950438912
2018-04-06,1960316.1860620175
2018-04-11,1943297.6098054235
2018-04-16,1520892.349875762
2018-04-26,1640727.2378456444
2018-05-16,1339477.0406177384
2018-06-15,570966.7195989486
2018-09-11,2284712.792862872
2018-10-06,3555298.3885823735
2018-10-26,2076288.1466982702
2018-10-28,3111624.978564796
2018-10-31,2229271.4407555196
2018-11-15,3279139.035463772
2018-11-25,2613437.434871818
2018-11-27,3173134.6472552256
2018-12-02,3091442.533791075
2018-12-20,2825193.969870642
2018-12-30,2737889.704182906
2019-01-01,2702384.5794714857
2019-01-04,2611360.279386033
2019-01-06,2572203.2562065506
2019-01-09,2703218.4031678033
2019-01-14,2732848.612848325
2019-01-31,2657750.004291115
2019-02-03,2526297.1779105077
2019-02-05,2438429.7467439887
2019-02-10,2470195.6926199654
2019-02-15,2271552.0749872494
2019-02-23,2170862.901861854
2019-02-25,2143891.2194293817
2019-03-07,2141928.4661038117
2019-03-15,1653212.1547225884
2019-03-17,1750513.005359911
2019-04-01,1508711.2795766762
2019-04-04,50.33914568228581
2019-04-11,1386242.7378033013
2019-04-16,1285049.488255369
2019-05-06,1219627.5155010712
2019-05-26,960621.0447090468
2019-06-05,921778.77176702
2019-06-15,871097.8384959488
2019-11-05,3468310.5137191536
2019-11-12,3223741.056475476
2019-11-15,3276740.3139584777
2019-12-07,3072658.7464784076
2019-12-10,3009636.064002248
2019-12-12,2932407.932169952
2019-12-30,3165000.9200962335
2020-01-01,2902411.692519608
2020-01-06,2692580.462630096
2020-01-11,2943036.8728537187
2020-01-16,2896427.982194012
2020-01-26,2715327.1881367774
2020-02-10,2687139.2973525575
2020-02-13,2889147.1568344706
2020-02-15,2611323.196842963
2020-02-18,2402102.841941073
2020-02-23,1833120.8402287024
2020-03-16,2181334.3466245276
2020-03-24,22564.89966719427
2020-03-26,1978144.069104769
2020-03-29,9761.088053376483
2020-03-31,2125746.6788712265
2020-04-05,2019080.7655392615
2020-04-10,1976589.7533889415
2020-04-15,1906047.6219366866
2020-04-20,1919836.9402545802
2020-04-30,1933321.5957527105
2020-05-05,1750944.6533230583
2020-10-27,3351445.6249639695
2020-10-30,3458064.711892705
2020-11-01,3325877.5244204793
2020-11-09,3271390.040124605
2020-11-14,3152490.8344577723
2020-11-29,3292652.595898899
2020-12-06,3151404.485656821
2020-12-09,3225648.683441885
2020-12-11,3087564.495430004
2020-12-21,2516396.3434491907
2020-12-24,3205379.7725308225
2020-12-26,3257974.6015062397
2020-12-29,3357704.838332376
