date,value
2018-01-01,2663700
2018-01-11,2389400
2018-01-31,1988100
2018-02-20,2072900
2018-02-25,2008500
2018-03-02,1713400
2018-03-07,1505500
2018-03-12,1551800
2018-03-22,1851700
2018-03-27,2001100
2018-04-01,2225800
2018-04-11,2901800
2018-04-16,2896500
2018-04-26,2902100
2018-05-06,2835000
2018-05-16,2741200
2018-05-21,2724500
2018-06-05,2521300
2018-06-15,1345600
2018-06-20,2598800
2018-10-28,3032600
2019-01-01,3358700
2019-01-31,2856100
2019-02-05,2514600
2019-02-10,2446000
2019-02-15,2239800
2019-03-12,1487000
2019-03-17,1300300
2019-03-27,955500
2019-04-01,859000
2019-04-11,1389900
2019-04-16,2035500
2019-05-06,2029600
2019-05-21,1760300
2019-05-26,1688800
2019-06-15,1534500
2019-08-19,2980600
2019-11-27,4335900
2019-12-07,4311500
2019-12-22,4177300
2020-01-01,4187700
2020-01-26,3881100
2020-02-15,3644600
2020-02-20,3472100
2020-03-26,2749000
2020-03-31,2626600
2020-04-05,2281400
2020-04-10,2237300
2020-04-15,2230400
2020-05-05,1954900
2020-05-15,1827600
2020-10-27,4551300
2020-11-01,4506100
2020-11-21,4432400
2020-12-06,4406900
2020-12-21,4244900
