date,value
2018-01-16,300
2018-01-19,300
2018-01-24,300
2018-07-23,100
2018-07-25,100
2018-07-30,100
2018-08-02,100
2018-09-11,1100
2018-09-18,1100
2018-10-01,1100
2018-10-03,1100
2018-10-06,1100
2018-10-08,1100
2018-12-15,300
2018-12-20,300
2018-12-22,300
2019-01-16,1100
2019-01-19,1000
2019-01-21,1100
2019-01-24,1100
2019-01-26,1000
2019-01-29,1000
2019-09-11,1100
2019-09-21,1100
2019-11-05,1100
2019-11-10,1100
2019-11-12,1100
2019-11-15,1000
2019-11-17,1000
2019-12-22,300
2019-12-25,100
2019-12-30,300
2020-01-24,600
2020-01-26,600
2020-01-31,600
2020-02-03,900
2020-02-05,700
2020-02-10,700
2020-02-13,700
2020-10-25,1100
2020-10-27,1100
2020-10-30,1100
2020-11-01,1100
2020-11-09,1100
2020-11-11,1000
2020-11-14,1000
2020-11-16,1000
2020-11-19,1000
2020-12-19,900
2020-12-21,900
2020-12-24,900
2020-12-26,900
2020-12-29,900
