date,value
2018-01-09,11982795.27339873
2018-01-29,11272816.983949818
2018-02-03,10818389.30985434
2018-02-08,10943532.18654437
2018-02-18,9751266.584153073
2018-02-23,9177067.783775834
2018-02-28,8332662.44829609
2018-03-05,9740908.281453127
2018-03-10,9826873.567035396
2018-03-25,7849213.854718105
2018-04-09,6760469.77544038
2018-04-14,6373851.126384496
2018-04-19,6396015.04011474
2018-04-24,2688956.8741020956
2018-04-29,135080.48074796598
2018-05-19,4212994.24081762
2018-05-29,1515105.527734803
2018-06-03,3806580.389826477
2018-06-13,5089374.445645994
2018-10-06,21228178.754015382
2018-10-21,20384737.63853893
2018-10-26,20390475.165965833
2018-10-31,19213274.325891923
2018-11-10,19012802.29724634
2018-11-15,19122115.01501238
2018-11-25,17951711.550144438
2018-12-20,16745275.999418698
2018-12-30,18891198.577528495
2019-01-04,16928715.366017684
2019-01-09,16644903.489898458
2019-01-29,17521060.50046379
2019-02-03,15896792.567391245
2019-02-13,15470853.53047874
2019-03-10,13302386.441985661
2019-03-15,13032817.913953748
2019-04-09,10880621.78943923
2019-04-14,10497668.467836557
2019-04-19,3640202.376792875
2019-04-24,5341499.69059662
2019-04-29,2898454.5361705027
2019-05-04,4671901.0079812845
2019-05-09,1359297.328993683
2019-05-14,975727.3076312292
2019-05-19,5799946.247855024
2019-05-24,6051420.846758318
2019-05-29,6268052.341032748
2019-07-18,6291904.725137423
2019-11-10,20002563.283569723
2019-11-15,19335333.46084803
2019-12-25,16464423.125047173
2019-12-30,17724261.946506076
2020-01-24,15062314.057905538
2020-02-13,14592570.725822747
2020-02-18,13919670.70731694
2020-02-23,13702381.04433472
2020-03-19,13801422.972999746
2020-03-24,14693364.039155189
2020-03-29,14578252.507792998
2020-04-08,12441061.206759028
2020-04-13,12078965.702312633
2020-04-18,11236287.536521811
2020-04-23,5465233.624567961
2020-04-28,6727184.615626552
2020-05-03,3975263.9114408693
2020-05-23,9443117.40696493
2020-11-14,26262518.190142557
2020-11-29,26258465.836858466
2020-12-09,25380161.940841205
2020-12-19,25782914.962345377
2020-12-24,25939205.19374743
2020-12-29,24990778.407565273
