date,value
2018-01-04,29622498.01772452
2018-01-09,24151564.65723706
2018-01-19,26216765.50020191
2018-02-03,32627316.06429429
2018-02-08,31162713.17250085
2018-02-23,28032353.31352574
2018-02-28,30158490.698121957
2018-03-05,30422771.425072603
2018-03-10,25199833.431812685
2018-03-30,3752.7161919083246
2018-04-19,16906.559081891115
2018-04-29,1552909.4579085358
2018-05-09,3033668.0460078507
2018-05-19,12210128.817967791
2018-05-24,21877469.297626555
2018-05-29,14884146.3966883
2018-09-11,29690249.08986404
2018-10-06,27890954.213200156
2018-10-26,28885636.616749506
2018-10-31,26797047.862124365
2018-11-15,22565543.749381788
2019-01-09,27099579.74943031
2019-01-14,26959860.152938582
2019-01-29,28283984.9576594
2019-03-15,16707509.870288042
2019-03-30,31408412.580564614
2019-04-04,51058.86964253256
2019-04-14,7219160.108467593
2019-04-19,246138.86131243056
2019-04-24,109628.45687992983
2019-04-29,3363940.6958960425
2019-05-09,2619001.2911889134
2019-05-19,2372391.6855208133
2019-05-24,14309343.583305547
2019-06-13,27495278.900786947
2019-08-17,21655909.39448718
2019-08-27,357833.0820110988
2019-11-10,26610914.426710445
2019-12-30,24937645.623853896
2020-01-24,25847012.8983882
2020-02-13,26641341.029160567
2020-02-18,28015300.56263839
2020-03-24,28373512.0298674
2020-03-29,10665760.22819645
2020-04-08,557465.4494966915
2020-04-18,4007375.3678734954
2020-04-23,3980.6628921130145
2020-04-28,2995253.099166207
2020-05-13,12027241.10395064
2020-08-31,46588.12959871554
2020-11-09,25806300.752340537
2020-11-14,25780407.767503977
