date,value
2018-01-12,835169.6339666946
2018-01-24,764291.6993309357
2018-02-05,629293.2055214759
2018-02-17,543177.500293533
2018-03-01,442406.4321180776
2018-03-13,339249.66519349214
2018-03-25,241009.87185078702
2018-04-06,143607.5909333203
2018-04-18,67855.80883579161
2018-04-30,12187.459558960496
2018-05-12,5250.124514019494
2018-05-24,5164.672910452626
2018-06-05,9990.622449156079
2018-06-17,27461.13412036015
2018-06-29,33265.22891899141
2018-07-11,242346.3038903199
2018-07-23,1067190.2125502524
2018-08-04,765789.3180085398
2018-08-16,1229605.826359023
2018-08-28,1183624.9181454128
2018-09-09,1030955.9253477185
2018-09-21,1044236.2479254489
2018-10-03,883050.5082568433
2018-10-27,657092.8637899334
2018-11-08,521445.1971918918
2018-11-20,460906.12236244173
2018-12-02,422257.02914036904
2018-12-14,412477.0753169289
2018-12-20,411431.83215208555
2018-12-26,393678.38532898074
2019-01-07,354515.50581721676
2019-01-19,313952.51511525613
2019-01-31,290387.8557604923
2019-02-12,245353.9065205067
2019-02-24,195552.05540357102
2019-03-08,141781.2291385877
2019-03-20,99686.39480353943
2019-04-01,48417.46970001573
2019-04-13,21438.227556005364
2019-04-25,9784.1756995357
2019-05-07,5672.085261383057
2019-05-19,2799.1485122136296
2019-05-31,5435.01708075143
2019-06-12,3989.021531004677
2019-06-24,3949.4762092199294
2019-07-30,263951.8692317997
2019-08-11,1334123.81719242
2019-08-23,1254617.4987211814
2019-09-04,1263800.9902309664
2019-09-16,1202321.244065379
2019-09-28,1238403.4853573053
2019-10-04,1181084.4832659643
2019-10-10,1145862.3847125308
2019-10-16,1130963.285159566
2019-10-22,1193790.210591941
2019-10-28,1193207.7968785896
2019-11-03,1190137.0406064524
2019-11-09,1202678.9256515396
2019-11-15,1159365.4982712234
2019-11-21,1155940.3640568587
2019-11-27,1181373.718825914
2019-12-03,1170958.5857150818
2019-12-09,1155781.9543298893
2019-12-15,1159206.780170148
2019-12-21,1156383.987212024
2019-12-27,1151447.0777306599
2020-01-02,1119136.1238071301
2020-01-14,1003054.3902387574
2020-01-26,1039649.2978621965
2020-02-07,1018719.8810678237
2020-02-19,890930.4166635581
2020-03-02,708523.1690160368
2020-03-14,507635.9627528308
2020-03-26,288691.5841938202
2020-04-07,126499.63375412708
2020-04-19,30377.449463732908
2020-05-01,5281.259860908899
2020-05-13,1483.9513109202132
2020-05-25,433.9424181420052
2020-06-06,563.9017538984082
2020-06-18,28434.89894434877
2020-06-30,35844.32791091095
2020-07-12,215751.37674341435
2020-07-24,558593.5522032616
2020-08-05,593588.5597930405
2020-08-17,1352097.2661866057
2020-08-29,1100842.4339695065
2020-09-10,1113500.4493188818
2020-09-22,1250209.0358741477
2020-10-04,1168148.910160622
2020-10-16,1183721.4610750074
2020-10-28,1088005.3264065485
2020-11-09,1072882.0011863024
2020-11-21,1013218.8035646215
2020-12-03,1018690.7233022157
2020-12-15,968980.2423861092
