date,value
2018-01-12,3139400
2018-01-24,3096800
2018-02-05,2979700
2018-02-17,2873300
2018-03-01,2735600
2018-03-13,2600200
2018-03-25,2456100
2018-04-06,2251800
2018-04-18,2039000
2018-04-30,1751900
2018-05-12,1641700
2018-05-24,1489700
2018-06-05,1400800
2018-06-17,2127200
2018-06-29,2896200
2018-07-11,4054600
2018-07-23,4050200
2018-08-04,3669700
2018-08-16,3879300
2018-08-28,3726000
2018-09-09,3616000
2018-09-21,3490700
2018-10-03,3298500
2018-10-27,2366600
2018-11-08,1122400
2018-11-20,285300
2018-12-02,147600
2018-12-14,111800
2018-12-20,895300
2018-12-21,895300
2018-12-26,1132700
2019-01-07,1108600
2019-01-19,1051500
2019-01-31,1101000
2019-02-12,1082000
2019-02-24,1022900
2019-03-08,952500
2019-03-20,901400
2019-04-01,749100
2019-04-13,569300
2019-04-25,497000
2019-05-07,445800
2019-05-19,241300
2019-05-31,127400
2019-06-12,115700
2019-06-24,62900
2019-07-30,1914700
2019-08-11,4079500
2019-08-23,3715800
2019-09-04,3847200
2019-09-16,3655400
2019-09-28,3624100
2019-10-04,3644300
2019-10-10,3677100
2019-10-16,3672100
2019-10-22,3611500
2019-10-28,3602600
2019-11-03,3617800
2019-11-09,3633300
2019-11-15,3591500
2019-11-21,3561900
2019-11-27,3586700
2019-12-03,3595300
2019-12-09,3620100
2019-12-15,3618700
2019-12-21,3604400
2019-12-27,3613000
2020-01-02,3555700
2020-01-14,3538700
2020-01-26,3465500
2020-02-07,3355100
2020-02-19,3273100
2020-03-02,3149900
2020-03-14,3055200
2020-03-26,2826800
2020-04-07,2506800
2020-04-19,2202500
2020-05-01,1865200
2020-05-13,1689500
2020-05-25,1580100
2020-06-06,2274000
2020-06-18,3762100
2020-06-30,3672900
2020-07-12,2695600
2020-07-24,3599500
2020-08-05,3628300
2020-08-17,4264600
2020-08-29,3679600
2020-09-10,3604700
2020-09-22,3670400
2020-10-04,3603700
2020-10-16,3652200
2020-10-28,3594700
2020-11-09,3601700
2020-11-21,3551000
2020-11-28,3595100
2020-12-03,3639300
2020-12-15,3621200
