date,value
2018-02-03,18170800
2018-02-18,16252400
2018-02-23,14558400
2018-02-28,13092600
2018-03-05,12109700
2018-03-10,11792600
2018-03-25,6704000
2018-04-19,4300000
2018-04-29,8736800
2018-05-19,12700900
2018-05-24,13721300
2018-05-29,13526400
2018-09-11,17454400
2018-10-06,18422300
2018-10-26,13361800
2018-10-31,12912200
2018-11-15,12296900
2018-11-25,12601700
2018-12-30,12182000
2019-01-09,11006600
2019-01-14,10851700
2019-01-29,10538400
2019-02-23,9293400
2019-03-05,5922000
2019-03-10,4139600
2019-03-15,3707300
2019-03-20,3786500
2019-03-30,3471500
2019-04-04,443900
2019-04-14,2679900
2019-04-19,2142800
2019-04-24,2489900
2019-04-29,2867000
2019-05-04,1799200
2019-05-09,2730600
2019-05-19,2190700
2019-08-27,11020100
2019-11-10,21440600
2019-12-25,20405300
2020-01-24,14915700
2020-02-13,12471100
2020-02-18,12153600
2020-03-29,3212900
2020-04-08,2938100
2020-05-13,2475400
2020-08-31,772000
2020-11-09,24237500
2020-11-14,24307700
