date,value
2018-12-20,12210400
2018-12-21,12210400
2018-12-26,12210400
2019-01-07,11526600
2019-01-12,11526600
2019-01-19,11454200
2019-01-24,11454200
2019-01-31,11047400
2019-02-05,11047400
2019-02-12,11120500
2019-02-24,10009300
2019-03-08,5889700
2019-03-20,5840400
2019-04-01,4447200
2019-04-13,4138200
2019-04-25,3918700
2019-05-07,4495900
2019-05-19,2926300
2019-05-31,3405900
2019-06-12,2976400
2019-06-17,2976400
2019-06-24,3722300
2019-06-29,3722300
2019-07-30,3144500
2019-08-04,3144500
2019-08-11,11026700
2019-08-23,11417300
2019-09-04,12321600
2019-09-16,11660300
2019-09-28,21768700
2019-10-04,23702100
2019-10-09,23636600
2019-10-10,23645800
2019-10-16,9964700
2019-10-21,9727300
2019-10-22,17102700
2019-10-27,17061500
2019-10-28,17239200
2019-11-02,11283800
2019-11-03,20351200
2019-11-08,20345800
2019-11-09,21355200
2019-11-14,21287400
2019-11-15,21390000
2019-11-20,21127300
2019-11-21,21244600
2019-11-26,21001900
2019-11-27,21150100
2019-12-02,20963400
2019-12-03,21081100
2019-12-08,20883600
2019-12-09,20949300
2019-12-14,20693800
2019-12-15,20814700
2019-12-20,20627300
2019-12-21,20695400
2019-12-26,20227500
2019-12-27,20256100
2020-01-02,18005500
2020-01-07,18005500
2020-01-14,16918300
2020-01-19,16918300
2020-01-26,14830800
2020-01-31,14830800
2020-02-07,13956400
2020-02-12,13956400
2020-02-19,11876200
2020-02-24,11876200
2020-03-02,8425200
2020-03-07,8425200
2020-03-14,8057900
2020-03-19,8057900
2020-03-26,4392500
2020-03-31,4392500
2020-04-07,4655100
2020-04-12,4655100
2020-04-19,4004700
2020-04-24,4004700
2020-05-01,3814900
2020-05-13,3894400
2020-05-18,3894400
2020-05-25,3833600
2020-05-30,3833600
2020-06-06,2792600
2020-06-11,2792600
2020-06-18,4035200
2020-06-30,2442700
2020-07-05,2442700
2020-07-12,2464400
2020-07-17,2464400
2020-07-24,5897500
2020-07-29,5897500
2020-08-05,18210500
2020-08-10,18210500
2020-08-17,21414400
2020-08-22,21414400
2020-08-29,23484200
2020-09-03,23484200
2020-09-10,23422200
2020-09-15,23422200
2020-09-22,23478700
2020-09-27,23478700
2020-10-04,23555200
2020-10-09,23555200
2020-10-16,19875600
2020-10-21,19875600
2020-10-28,23570600
2020-11-02,23570600
2020-11-09,23719700
2020-11-14,23719700
2020-11-21,23566600
2020-11-26,23566600
2020-11-28,23768600
2020-12-03,23747900
2020-12-08,23747900
2020-12-15,23348100
2020-12-20,23348100
