date,value
2018-01-29,136048231.82074106
2018-02-03,127078034.34893565
2018-02-08,118047554.37331326
2018-02-13,115548507.22807817
2018-02-18,102713579.25333105
2018-02-23,95931924.07537182
2018-02-28,79714074.06037955
2018-03-05,66976246.28332404
2018-03-10,58564158.42359264
2018-03-15,57881219.24538405
2018-03-20,55934234.179116644
2018-03-25,34634057.75453339
2018-03-30,23127284.055641875
2018-04-19,17628670.65658034
2018-04-24,20137077.545565117
2018-04-29,30402837.90572173
2018-05-04,34494740.02251189
2018-05-09,41060238.207998194
2018-05-19,66216327.10149336
2018-05-24,76166523.1792399
2018-05-29,71473609.470357
2018-06-03,77006283.76976644
2018-09-11,107952362.23878692
2018-10-06,119751690.01470135
2018-10-26,69378009.74186577
2018-10-31,69442036.37878934
2018-11-10,66940427.452150695
2018-11-15,66072056.0933801
2018-11-25,62769678.20050556
2018-11-30,63334114.87805174
2018-12-30,57473160.434860066
2019-01-09,50566979.03563872
2019-01-14,50354571.584548
2019-01-19,50345443.82887977
2019-01-29,47332586.77489872
2019-02-03,46508881.22638819
2019-02-23,37674437.33108632
2019-02-28,37687979.95828243
2019-03-05,37588487.23317607
2019-03-10,17575785.25573577
2019-03-15,9740582.961689075
2019-03-20,8448169.433166526
2019-03-30,8416605.156268062
2019-04-04,7273972.633833516
2019-04-09,6202822.930037194
2019-04-14,4570546.187944805
2019-04-19,5191448.006586563
2019-04-24,4750264.498276316
2019-04-29,4777136.533408651
2019-05-04,4940541.958104013
2019-05-09,4890900.903271163
2019-05-14,4744956.358318359
2019-05-19,4397050.780629271
2019-05-24,4541829.61744892
2019-05-29,4601082.468915677
2019-08-27,51300581.517537974
2019-11-10,152697066.9267697
2019-11-15,152697066.9267697
2019-12-25,145559152.76121765
2019-12-30,142108671.37432954
2020-01-24,83038643.91273288
2020-01-29,83368040.83794327
2020-02-03,80876300.5913477
2020-02-13,63480131.87152384
2020-02-18,62963422.59164427
2020-02-23,60784721.391835846
2020-03-29,8871520.20198314
2020-04-08,6403379.241284041
2020-04-13,5844010.595827461
2020-04-18,5524819.393593157
2020-04-23,4933352.501985668
2020-05-13,4600208.871663991
2020-05-18,4209105.511477999
2020-05-23,4213040.095193673
2020-08-31,590603.2409315236
2020-11-09,188512913.44665852
2020-11-14,188626619.38096458
