date,value
2018-01-04,13717600
2018-01-07,13717600
2018-01-09,13886100
2018-01-14,13591900
2018-01-17,13760200
2018-01-22,13339600
2018-01-24,13606900
2018-01-27,12679900
2018-01-29,12679900
2018-02-03,12688900
2018-02-08,12119700
2018-02-11,12119700
2018-02-16,11043100
2018-02-18,11429400
2018-02-21,11318700
2018-02-23,11334600
2018-02-26,11334600
2018-02-28,11153900
2018-03-03,11169800
2018-03-05,10247700
2018-03-08,10247700
2018-03-10,10247700
2018-03-13,9283800
2018-03-15,9283800
2018-03-25,9082100
2018-03-28,9082100
2018-03-30,9042600
2018-04-02,9042700
2018-04-09,8755000
2018-04-12,8386500
2018-04-14,8441500
2018-04-17,8441500
2018-04-19,8403400
2018-04-22,8368400
2018-04-24,8310400
2018-04-27,8398100
2018-04-29,8189800
2018-05-02,8272600
2018-05-04,7940300
2018-05-07,7993100
2018-05-09,7819500
2018-05-12,7912000
2018-05-14,7833600
2018-05-17,7471500
2018-05-19,7411300
2018-05-22,7197700
2018-05-29,7281500
2018-06-03,7151700
2018-06-06,7151700
2018-06-13,7752100
2018-10-01,20813600
2018-10-04,20813600
2018-10-06,20692100
2018-10-09,20816000
2018-10-14,20435600
2018-10-16,20454300
2018-10-19,19908400
2018-10-21,19952700
2018-10-24,19952700
2018-10-26,18770900
2018-10-29,18807400
2018-10-31,18271200
2018-11-03,18201000
2018-11-05,17882100
2018-11-10,15137200
2018-11-15,13618400
2018-11-18,13625900
2018-11-20,13535600
2018-11-23,11370200
2018-11-25,11532300
2018-11-28,11045100
2018-11-30,11178000
2018-12-03,11195600
2018-12-08,10923500
2018-12-10,10931200
2018-12-20,11003600
2018-12-23,10991200
2018-12-25,10747200
2018-12-28,10836200
2018-12-30,10497000
2019-01-04,10521800
2019-01-07,10521800
2019-01-09,10594000
2019-01-12,10594000
2019-01-14,10462400
2019-01-17,10651400
2019-01-19,10379700
2019-01-22,10609500
2019-01-24,10339100
2019-01-29,10147800
2019-02-01,10183300
2019-02-03,10081400
2019-02-06,10211100
2019-02-08,10192600
2019-02-11,10142300
2019-02-13,10145000
2019-02-16,9847900
2019-02-18,9881100
2019-02-21,9887100
2019-02-23,9684800
2019-02-26,9746000
2019-02-28,9510000
2019-03-03,9575900
2019-03-05,9075800
2019-03-08,9104900
2019-03-10,7526800
2019-03-13,7625300
2019-03-15,7030900
2019-03-18,7034200
2019-03-20,6918000
2019-03-23,7003200
2019-03-28,6847400
2019-03-30,6894600
2019-04-14,5723600
2019-04-17,5848000
2019-04-19,5641200
2019-04-22,5701100
2019-04-24,5474200
2019-04-27,5503200
2019-04-29,5256800
2019-05-02,5334200
2019-05-04,5238000
2019-05-07,4528900
2019-05-09,4553000
2019-05-14,4450700
2019-05-17,4500800
2019-05-19,4246700
2019-05-22,4441600
2019-05-24,4184400
2019-05-27,4207600
2019-05-29,3926000
2019-06-03,4171100
2019-06-06,3721900
2019-06-08,3721400
2019-06-18,3398100
2019-11-05,20848000
2019-11-08,20847000
2019-11-10,20900200
2019-11-13,20900200
2019-11-15,20849600
2019-11-18,20698200
2019-11-20,20749200
2019-11-23,20691900
2019-11-25,20846200
2019-11-28,20880200
2019-11-30,20792400
2019-12-03,20902400
2019-12-05,20856000
2019-12-08,20899900
2019-12-10,20854200
2019-12-13,20926800
2019-12-15,20827200
2019-12-18,20860700
2019-12-20,20810100
2020-01-14,20159600
2020-01-19,20204400
2020-01-22,20204400
2020-01-24,19885500
2020-01-27,19935400
2020-01-29,19725000
2020-02-01,19776600
2020-02-03,19561900
2020-02-13,19269300
2020-02-16,18590100
2020-02-18,18614200
2020-02-21,18614200
2020-02-23,18114400
2020-02-26,18141500
2020-02-28,17981500
2020-03-02,18040500
2020-03-04,17561500
2020-03-07,17595600
2020-03-12,16479400
2020-03-24,14189400
2020-03-27,14189400
2020-03-29,13540700
2020-04-01,13582500
2020-04-03,12587000
2020-04-08,11622900
2020-04-11,11642400
2020-04-13,11108800
2020-04-16,11069800
2020-04-18,10315600
2020-04-21,10054600
2020-04-23,9723500
2020-04-26,9778600
2020-04-28,9492500
2020-05-01,9537800
2020-05-03,9150300
2020-05-06,9183500
2020-05-08,8976700
2020-05-11,9096800
2020-05-16,9045000
2020-05-18,9053500
2020-11-04,20132500
2020-11-07,20130800
2020-11-09,19735200
2020-11-12,19774700
2020-11-14,19537700
2020-11-17,19670000
2020-11-19,19657800
2020-11-22,19223600
2020-11-24,19223600
2020-11-29,19387900
2020-12-02,19379700
2020-12-04,19704400
2020-12-07,19704400
2020-12-09,19602400
2020-12-12,19838500
2020-12-17,19703400
2020-12-19,19906100
2020-12-22,19854700
2020-12-24,19893200
2020-12-27,19893200
2020-12-29,19806600
