date,value
2018-01-04,91696498.25559926
2018-01-07,91696498.25559926
2018-01-09,93191026.8450017
2018-01-14,90585454.99810594
2018-01-17,92073784.29793032
2018-01-22,88365474.45472108
2018-01-24,90717863.32937305
2018-01-27,82625388.62471989
2018-01-29,82625388.62471989
2018-02-03,82703059.50680067
2018-02-08,77826339.07993051
2018-02-11,77826339.07993051
2018-02-16,68805949.30742931
2018-02-18,72011220.41907151
2018-02-21,71089055.79554603
2018-02-23,71221328.50894016
2018-02-26,71221328.50894016
2018-02-28,69721636.42084597
2018-03-03,69853282.02173723
2018-03-05,62321074.22175798
2018-03-08,62321074.22175798
2018-03-10,62321074.22175798
2018-03-13,54679435.75073438
2018-03-15,54679435.75073438
2018-03-25,53111846.632213436
2018-03-28,53111846.632213436
2018-03-30,52806168.99813752
2018-04-02,52806942.31983698
2018-04-09,50593651.00712639
2018-04-12,47793103.39302866
2018-04-14,48208608.22046186
2018-04-17,48208608.22046186
2018-04-19,47920682.94079559
2018-04-22,47656557.364344686
2018-04-24,47219652.102091506
2018-04-27,47880663.82454087
2018-04-29,46314357.56313427
2018-05-02,46935441.66048056
2018-05-04,44455202.159357965
2018-05-07,44847083.80090257
2018-05-09,43561805.143465705
2018-05-12,44245506.72592874
2018-05-14,43665854.874899
2018-05-17,41013231.88790402
2018-05-19,40576201.080542706
2018-05-22,39034859.40025493
2018-05-29,39637818.434973665
2018-06-03,38704844.21337114
2018-06-06,38704844.21337114
2018-06-13,43065274.14982221
2018-10-01,159269425.7353629
2018-10-04,159269425.7353629
2018-10-06,158039389.7554479
2018-10-09,159293746.24365988
2018-10-14,155450341.76895264
2018-10-16,155638740.6774069
2018-10-19,150162032.7047537
2018-10-21,150604674.2262559
2018-10-24,150604674.2262559
2018-10-26,138906966.87545347
2018-10-29,139264763.8813291
2018-10-31,134031384.0789435
2018-11-03,133349871.64651458
2018-11-05,130264697.79439193
2018-11-10,104468955.09492995
2018-11-15,90819408.44261467
2018-11-18,90885648.49883397
2018-11-20,90088905.26200505
2018-11-23,71517704.40229808
2018-11-25,72871010.33363184
2018-11-28,68822451.65803508
2018-11-30,69921198.47928463
2018-12-03,70067024.93143006
2018-12-08,67820874.6337918
2018-12-10,67884190.1272506
2018-12-20,68480226.59859551
2018-12-23,68378052.50705145
2018-12-25,66375168.77807353
2018-12-28,67104038.63219939
2018-12-30,64336649.95504139
2019-01-04,64538012.74960006
2019-01-07,64538012.74960006
2019-01-09,65125113.92395934
2019-01-12,65125113.92395934
2019-01-14,64055974.06578938
2019-01-17,65592794.51957435
2019-01-19,63386330.02519426
2019-01-22,65251323.1986582
2019-01-24,63058212.68406674
2019-01-29,61517818.824216485
2019-02-01,61802967.59681377
2019-02-03,60985338.51199546
2019-02-06,62026492.39748038
2019-02-08,61877721.8831828
2019-02-11,61473669.747177295
2019-02-13,61495341.960679986
2019-02-16,59121891.314249985
2019-02-18,59385978.891348176
2019-02-21,59433736.29388755
2019-02-23,57828724.16623967
2019-02-26,58313137.98113934
2019-02-28,56450611.9732427
2019-03-03,56969207.178810984
2019-03-05,53063064.037369154
2019-03-08,53288484.84695009
2019-03-10,41415698.03011054
2019-03-13,42134942.70290084
2019-03-15,37841476.973625556
2019-03-18,37864998.863736466
2019-03-20,37038906.87884173
2019-03-23,37644176.88716764
2019-03-28,36539183.59506948
2019-03-30,36873092.13879336
2019-04-14,28817607.566196326
2019-04-17,29649940.962693855
2019-04-19,28269500.002350084
2019-04-22,28667686.68511021
2019-04-24,27166621.519029062
2019-04-27,27357366.640322603
2019-04-29,25747198.766833257
2019-05-02,26250409.166552383
2019-05-04,25625332.817110103
2019-05-07,21135540.109040596
2019-05-09,21284606.522035513
2019-05-14,20653622.019637838
2019-05-17,20962056.948501516
2019-05-19,19409414.99909315
2019-05-22,20597719.25026252
2019-05-24,19033249.116594944
2019-05-27,19173119.418871496
2019-05-29,17492585.88077208
2019-06-03,18953178.0808965
2019-06-06,16298612.15572149
2019-06-08,16295712.71290939
2019-06-18,14447915.037235845
2019-11-05,159618106.54042235
2019-11-08,159607967.83614066
2019-11-10,160147565.73335093
2019-11-13,160147565.73335093
2019-11-15,159634328.79525816
2019-11-18,158101088.9425262
2019-11-20,158617165.21291283
2019-11-23,158037366.93112245
2019-11-25,159599856.9862528
2019-11-28,159944657.07631654
2019-11-30,159054634.0775984
2019-12-03,160169889.5305574
2019-12-05,159699221.8509491
2019-12-08,160144521.6382177
2019-12-10,159680970.02632663
2019-12-13,160417531.8060089
2019-12-15,159407253.96975353
2019-12-18,159746881.8009755
2019-12-20,159233959.95737696
2020-01-14,152676213.36374918
2020-01-19,153125674.26776767
2020-01-22,153125674.26776767
2020-01-24,149933343.153426
2020-01-27,150431776.25625327
2020-01-29,148332918.88029122
2020-02-01,148846988.98577654
2020-02-03,146710888.8125158
2020-02-13,143811972.31967962
2020-02-16,137137977.38119724
2020-02-18,137373456.48504874
2020-02-21,137373456.48504874
2020-02-23,132510319.20548247
2020-02-26,132772903.29091251
2020-02-28,131224437.33972433
2020-03-02,131794916.36362526
2020-03-04,127181009.3274528
2020-03-07,127508138.85768443
2020-03-12,116908573.42849971
2020-03-24,95895993.86663264
2020-03-27,95895993.86663264
2020-03-29,90133858.25128475
2020-04-01,90502503.25321132
2020-04-03,81824698.51771037
2020-04-08,73630089.29103774
2020-04-11,73793718.78220548
2020-04-13,69348557.76945649
2020-04-16,69026335.52579203
2020-04-18,62868483.24833443
2020-04-21,60770743.245168515
2020-04-23,58134929.677087836
2020-04-26,58571578.70940628
2020-04-28,56313092.365104616
2020-05-01,56669240.40918701
2020-05-03,53640638.880862765
2020-05-06,53898520.23963103
2020-05-08,52297154.0178856
2020-05-11,53225715.35220401
2020-05-16,52824729.48420459
2020-05-18,52890477.38035231
2020-11-04,152404486.76682615
2020-11-07,152387445.1381604
2020-11-09,148434502.85065004
2020-11-12,148828052.32770172
2020-11-14,146470592.215187
2020-11-17,147785455.83852276
2020-11-19,147664085.77895963
2020-11-22,143360484.25381157
2020-11-24,143360484.25381157
2020-11-29,144985286.7500567
2020-12-02,144904088.75469872
2020-12-04,148127811.03479394
2020-12-07,148127811.03479394
2020-12-09,147113253.71622318
2020-12-12,149464247.8221762
2020-12-17,148117856.11205766
2020-12-19,150139060.03025675
2020-12-22,149625895.34796262
2020-12-24,150010229.24275616
2020-12-27,150010229.24275616
2020-12-29,149146067.01651165
