date,value
2018-01-04,34523100
2018-01-09,34531600
2018-01-14,33331200
2018-01-24,32036200
2018-01-29,31268500
2018-02-03,30189700
2018-02-08,29962900
2018-02-13,29310300
2018-02-18,28402300
2018-02-23,27962800
2018-02-28,27088700
2018-03-05,25397600
2018-03-10,24965400
2018-03-15,25443100
2018-03-20,24956800
2018-03-25,22419700
2018-03-30,21338000
2018-04-09,19471400
2018-04-14,18978400
2018-04-19,17716900
2018-04-24,17280500
2018-04-29,17052500
2018-05-04,16880700
2018-05-09,16818400
2018-05-14,16640000
2018-05-19,16424800
2018-05-24,16356100
2018-05-29,14698500
2018-06-03,14335000
2018-06-13,15978600
2018-06-18,15987500
2018-10-06,24836800
2018-10-16,23845600
2018-10-21,24505600
2018-10-26,25374100
2018-10-31,25358400
2018-11-05,25819600
2018-11-10,26041500
2018-11-15,26383500
2018-11-25,26409100
2018-11-30,25854100
2018-12-25,26205200
2018-12-30,28486500
2019-01-04,28111100
2019-01-09,28290400
2019-01-14,28236700
2019-01-19,28241000
2019-01-29,28253700
2019-02-03,28096900
2019-02-13,27593500
2019-02-18,26740300
2019-02-23,24963300
2019-02-28,24722400
2019-03-05,24674500
2019-03-10,24590900
2019-03-15,22337300
2019-03-20,21555000
2019-04-09,18602200
2019-04-14,18557100
2019-04-19,18354100
2019-04-24,18100500
2019-04-29,17954400
2019-05-04,17878900
2019-05-09,17665900
2019-05-14,17486800
2019-05-19,17252200
2019-05-24,17097200
2019-05-29,16885000
2019-07-18,15876400
2019-07-23,15908000
2019-11-10,40774300
2019-11-15,40728400
2019-11-20,41551300
2019-11-25,41534500
2019-12-15,38758000
2019-12-20,39983900
2019-12-25,40719400
2019-12-30,42109100
2020-01-14,37854700
2020-01-24,37772500
2020-02-03,34409800
2020-02-13,30438300
2020-02-18,28882700
2020-02-23,28848000
2020-02-28,29883800
2020-03-04,30481300
2020-03-09,30660600
2020-03-14,30994300
2020-03-19,28149900
2020-03-24,26970800
2020-03-29,26181300
2020-04-08,26225800
2020-04-13,23764700
2020-04-18,23927500
2020-04-23,23836500
2020-04-28,23711200
2020-05-03,23472400
2020-05-08,22699400
2020-05-13,21058100
2020-05-23,25991600
2020-08-31,41991200
2020-10-30,42463900
2020-11-04,42457500
2020-11-09,42430900
2020-11-14,42336200
2020-11-19,42179400
2020-11-29,42370600
2020-12-09,42348700
2020-12-14,42388000
2020-12-19,42069500
2020-12-24,42202700
2020-12-29,41721900
